"username","amount"
"RAmenAmen","1e+05"
"CJG","1e+05"
"csquires","1e+05"
"BigHogHockey","1e+05"
"MrPrime","1e+05"
"Inf1d3l","1e+05"
"Duff101","1e+05"
"kukucine8","1e+05"
"Revontulete","1e+05"
"Count Chocula","1e+05"
"aleks","1e+05"
"Ferwx","1e+05"
"WannabeFinn","1e+05"
"Tsunny","2e+05"
"oknom","2e+05"
"Conraddvd","2e+05"
"Gordon Bombay","2e+05"
"Otrebor13","2e+05"
"Confusion","2e+05"
"hockeyfan","2e+05"
"jcole","2e+05"
"EngynGameOver","2e+05"
"anuragb","2e+05"
"BANACKOCK","2e+05"
"Andy","2e+05"
"Michiganonymous","2e+05"
"Thelastheraclid","2e+05"
"GrilledTwinkiez","2e+05"
"HillsHaveHats","2e+05"
"Grum","2e+05"
"Valpix","2e+05"
"mattebleu","2e+05"
"nasbase","2e+05"
"Scp999v2","2e+05"
"CheeseConeys","2e+05"
"Punk42AE","2e+05"
"HabsFanFromOntario","2e+05"
"o1playz","2e+05"
"lunaripcole","2e+05"
"ForSucksFake","2e+05"
"TheLokiWild","3e+05"
"zeburgs","3e+05"
"Dynamicmlb_42","3e+05"
"jreiser18","3e+05"
"NorwegianDemon","4e+05"
"Sevrin","4e+05"
"Whitecap","4e+05"
"skyrrhawk","4e+05"
"FnoRespect","4e+05"
"charlieconway","4e+05"
"xenosthelegend","4e+05"
"mer","4e+05"
"LordBallGag","4e+05"
"thatguy131","4e+05"
"Caspwad","4e+05"
"MattyIce","4e+05"
"CptSquall","4e+05"
"LampLighter","4e+05"
"Jorec","4e+05"
"OVOXO","4e+05"
"Habsfan_nick","4e+05"
"Vulfzilla","4e+05"
"AuggieO","4e+05"
"kdr","4e+05"
"Rtpc31","4e+05"
"Katth","4e+05"
"Durodo","4e+05"
"Rancidbudgie","4e+05"
"Huck24","4e+05"
"roastpuff","4e+05"
"TheWoZy","4e+05"
"dankoa","4e+05"
"prattk1987","4e+05"
"Ashes","4e+05"
"Dextaria","4e+05"
"pboomg","4e+05"
"Massive Coiler","4e+05"
"amjohnson636","4e+05"
"RLG91","4e+05"
"sadie","4e+05"
"Bamford13","4e+05"
"lemonoppy","4e+05"
"cowbutch","4e+05"
"Bfine","4e+05"
"WildfireMicro","4e+05"
"tredpalo","4e+05"
"Kyamprac","5e+05"
"Mongoose87","5e+05"
"bobdigi9","6e+05"
"Pifferfish","6e+05"
"swoosh","6e+05"
"Ara","6e+05"
"Ivornen","6e+05"
"Morethanjustaguy","6e+05"
"Papajon","6e+05"
"dude_man","6e+05"
"Tripl3tsGamer","6e+05"
"homercrates","6e+05"
"Toivo","6e+05"
"Scrufdaddy","6e+05"
"micool132","6e+05"
"Prayl07","6e+05"
"CybershadeEDM","6e+05"
"Dangles13","6e+05"
"Renomitsu","6e+05"
"Arkz","6e+05"
"golden_apricot","6e+05"
"Magenta","6e+05"
"ocho","6e+05"
"Bluedog25123","6e+05"
"Pelochyta","6e+05"
"plummdogmillionaire","6e+05"
"EricNCSU","6e+05"
"diacope","6e+05"
"sobrien6187","6e+05"
"Toast","6e+05"
"MyLittleHexx","6e+05"
"anywheresoundsnice","6e+05"
"synes7hesia","6e+05"
"vbottas17","6e+05"
"Weaves","6e+05"
"Log Wolverine Hunts","6e+05"
"BoxOfRox","6e+05"
"Kaleb2897","6e+05"
"Ronniewalker","6e+05"
"spidey","6e+05"
"Bearen","6e+05"
"Proby","6e+05"
"egregious","6e+05"
"KalixIzalumi","6e+05"
"NYRangers","6e+05"
"Shiamus","6e+05"
"Thunfish","6e+05"
"Pandar","6e+05"
"Nol15736","6e+05"
"Juho","6e+05"
"Gaia Mormont","6e+05"
"Daleks","6e+05"
"Sajkashi","6e+05"
"RashfordU","6e+05"
"visceralpotamus","6e+05"
"RainDelay","6e+05"
"Alice","6e+05"
"GabeyD","6e+05"
"Deli","6e+05"
"sixhausen","6e+05"
"Dman2213","6e+05"
"Anthique","6e+05"
"Metafiction","6e+05"
"bjkman","6e+05"
"Clint Eastwood","6e+05"
"icnatspel","6e+05"
"By-Tor","6e+05"
"HanTheMan_","6e+05"
"Dziadek93","6e+05"
