"username","amount"
"Amidships","1e+05"
"hotdog","1e+05"
"sve7en","1e+05"
"bigdolla","1e+05"
"theevilisback","1e+05"
"Seany148","1e+05"
"theyonknowd","1e+05"
"KaleSalad","1e+05"
"SchwarzNarr","1e+05"
"sköldpaddor","1e+05"
"anuragb","1e+05"
"RAmenAmen","1e+05"
"WannabeFinn","1e+05"
"ForSucksFake","2e+05"
"sswiss","2e+05"
"damienj10","2e+05"
"Baron1898","2e+05"
"midknight","2e+05"
"Drokeep","2e+05"
"Shane_hf981","2e+05"
"Gordon Bombay","2e+05"
"Tsunny","2e+05"
"OblivionWalker","2e+05"
"Flyerfan9988","2e+05"
"PonceAR","2e+05"
"Andy","2e+05"
"mattebleu","2e+05"
"Malino8444","2e+05"
"ztevans","2e+05"
"whatTHEEheck","2e+05"
"Bamford13","2e+05"
"kahri","2e+05"
"MattyJ","2e+05"
"SewingWithNancy","2e+05"
"TheLokiWild","2e+05"
"LampLighter","2e+05"
"Wrehkz","2e+05"
"Gallade081","2e+05"
"ItsSwitchh","2e+05"
"saggylumps","2e+05"
"ibuprofenaddict","2e+05"
"HillsHaveHats","2e+05"
"TannerPitts","2e+05"
"Habsfan_nick","2e+05"
"JBeckQuest","2e+05"
"Gwdjohnson","2e+05"
"Durden","2e+05"
"Giof","2e+05"
"Count Chocula","3e+05"
"MSouthworth","3e+05"
"Ara","3e+05"
"Sylvester11","3e+05"
"Chris","4e+05"
"egregious","4e+05"
"PixelNick13","4e+05"
"Tripl3tsGamer","4e+05"
"JGaming","4e+05"
"Thunfish","4e+05"
"LeakyCink","4e+05"
"kb.m","4e+05"
"Raven","4e+05"
"Lime","4e+05"
"Jonnyhockey17","4e+05"
"lunaripcole","4e+05"
"Weaves","4e+05"
"visceralpotamus","4e+05"
"mer","4e+05"
"Hacob","4e+05"
"Rokkat","4e+05"
"ThePyroAlpaca","4e+05"
"Le Thrill","4e+05"
"skyrrhawk","4e+05"
"o1playz","4e+05"
"thatguy131","4e+05"
"Vaxlare","4e+05"
"SG_Vesuvius","4e+05"
"buddybooh","4e+05"
"MattyIce","4e+05"
"Wind Savon","4e+05"
"NUCK","4e+05"
"DETisHockeytown","4e+05"
"bluesfan55","4e+05"
"vbottas17","4e+05"
"Bongo","4e+05"
"tomtommen","4e+05"
"matt","4e+05"
"Mongoose87","4e+05"
"GabeyD","4e+05"
"RLG91","4e+05"
