"username","amount"
"Lumosityfan","1e+05"
"FionaLome","1e+05"
"Bamford13","1e+05"
"EmoLeBron","1e+05"
"Zamrael","1e+05"
"HabsFanFromOntario","1e+05"
"WannabeFinn","1e+05"
"Noruoficeland","2e+05"
"lemonoppy","2e+05"
"yosh","2e+05"
"kahri","2e+05"
"SG_Vesuvius","2e+05"
"RAmenAmen","2e+05"
"Nike","2e+05"
"MrPrime","2e+05"
"MrRuihu","2e+05"
"Z-Whiz","2e+05"
"MightyMulder","2e+05"
"ZodiacEXE","2e+05"
"Hetaksh03","2e+05"
"Neadex","2e+05"
"sash","2e+05"
"Jorec","2e+05"
"o1playz","2e+05"
"cake307","2e+05"
"Aleris","2e+05"
"marco999","2e+05"
"McBjorner","2e+05"
"Mooty99","2e+05"
"MrMom","2e+05"
"JuOSu","2e+05"
"mattebleu","2e+05"
"ec06aaj","2e+05"
"Rabidsponge21","2e+05"
"Smirnov Light","2e+05"
"Valpix","2e+05"
"Gunde ""viking"" Svan","2e+05"
"kdr","2e+05"
"Samsung virtual assistant","2e+05"
"dankoa","2e+05"
"Froste39","2e+05"
"JejuDaejiGogi","2e+05"
"NamesMonday","2e+05"
"vbottas17","2e+05"
"cozydior","2e+05"
"Giof","3e+05"
"jeffie43","3e+05"
"sve7en","3e+05"
"DigDoug11","3e+05"
"Baron1898","4e+05"
"PorgBoi","4e+05"
"MattyJ","4e+05"
"Shiamus","4e+05"
"OVOXO","4e+05"
"LeakyCink","4e+05"
"Toivo","4e+05"
"Aurora","4e+05"
"thatguy131","4e+05"
"Raven","4e+05"
"Dangles13","4e+05"
"JohnFranklinKennedy","4e+05"
"Omniscius","4e+05"
"Vaxlare","4e+05"
"jbay7","4e+05"
"Gallade081","4e+05"
"Jackienape","4e+05"
"roastpuff","4e+05"
"ephenssta","4e+05"
"Massive Coiler","4e+05"
"damienj10","4e+05"
"JR95","4e+05"
"CybershadeEDM","4e+05"
"Snipex91","4e+05"
"fancey13","4e+05"
"ThePyroAlpaca","4e+05"
"hockeymil","4e+05"
"WithTheMoose","4e+05"
"zaynzk","4e+05"
"Inf1d3l","4e+05"
