"username","amount"
"Dindog","1e+05"
"ephenssta","1e+05"
"jj2416","1e+05"
"Bamford13","1e+05"
"WannabeFinn","1e+05"
"HabsFanFromOntario","1e+05"
"Valpix","1e+05"
"RAmenAmen","1e+05"
"echlyrica","1e+05"
"Boomcheck","1e+05"
"ACapitalChicago","1e+05"
"notorioustig","2e+05"
"locrianmidwest","2e+05"
"UberBJ","2e+05"
"SmittyHextall","2e+05"
"DorkDipplet","2e+05"
"zeagle1","2e+05"
"CrazyMojito","2e+05"
"Runningman434","2e+05"
"Zaitsev","2e+05"
"unconfident69","2e+05"
"CementHands","2e+05"
"goldenglutes","2e+05"
"Seb","2e+05"
"roquefort","2e+05"
"DoubleDub","2e+05"
"AW13","2e+05"
"esilverm","2e+05"
"chetib","2e+05"
"Poiklm","2e+05"
"Sizz","2e+05"
"Waldo","2e+05"
"kenvald","2e+05"
"Aleris","2e+05"
"SewingWithNancy","2e+05"
"domffl","2e+05"
"Spartan","2e+05"
"Clapbomb_IV","2e+05"
"zaynzk","2e+05"
"TannerPitts","2e+05"
"Spritestuff","2e+05"
"Andy","2e+05"
"Cameron269","3e+05"
"TheRoyalEmpoleon","3e+05"
"Kaliyevl34l","3e+05"
"Massive Coiler","3e+05"
"Rangerjase","3e+05"
"sköldpaddor","3e+05"
"boom","3e+05"
"JoeyPoggers","3e+05"
"NorwegianDemon","3e+05"
"Mysterious_Fish","3e+05"
"JNH","4e+05"
"charlieconway","4e+05"
"RaidTheArcade","4e+05"
"IntelligentPea8396","4e+05"
"skyrrhawk","4e+05"
"amjohnson636","4e+05"
"Scrufdaddy","4e+05"
"FaraDian","4e+05"
"Hungy Fella","4e+05"
"DigDoug11","4e+05"
"RomanesEuntDomus","4e+05"
"natedoeshockey","4e+05"
"yosh","4e+05"
"spidey","4e+05"
"SloppyPainter","4e+05"
"wizard_literal","4e+05"
"BANACKOCK","4e+05"
"Bruins10","4e+05"
"KalixIzalumi","4e+05"
"Whitecap","4e+05"
"Halkohol","4e+05"
"MMFLEX","4e+05"
"JT3","4e+05"
"KaleSalad","4e+05"
"goilers","4e+05"
"Dextaria","4e+05"
"LordBallGag","4e+05"
"Arcalegion","4e+05"
"oilmandan","4e+05"
"linsangeles","4e+05"
"golden_apricot","5e+05"
"Tesla","5e+05"
"VRapa","5e+05"
"Chevy","5e+05"
"Juho","6e+05"
"puolivalmiste","6e+05"
"Ultimatedestroye","6e+05"
"Ohtaay","6e+05"
"Tdan04","6e+05"
"Atox","6e+05"
"Bongo","6e+05"
"Huck24","6e+05"
"the5urreal","6e+05"
"Tsunny","6e+05"
"kahri","6e+05"
"Troy_McClure03","6e+05"
"Rtpc31","6e+05"
"WonderBread","6e+05"
"GraylessRex","6e+05"
"zaybae","6e+05"
"gaby","6e+05"
"ImShiny","6e+05"
"fubaguy","6e+05"
"ZodiacEXE","6e+05"
"Rotti","6e+05"
"JohnnyPatey","6e+05"
"Punk42AE","6e+05"
"vbottas17","6e+05"
"st4rface","6e+05"
"Carpy48","6e+05"
"RashfordU","6e+05"
"Z-Whiz","6e+05"
"LampLighter","6e+05"
"Whikadoodle","6e+05"
"MattyJ","6e+05"
"Cuffy","6e+05"
"Mr35","6e+05"
"FuriousChicken","6e+05"
"Zema","6e+05"
"Grum","6e+05"
"Thelastheraclid","6e+05"
"efischermann","6e+05"
"bobdigi9","6e+05"
"tredpalo","6e+05"
"Aephino","6e+05"
"Accka","6e+05"
"Canadian_Goose25","6e+05"
"tomtommen","6e+05"
"Fitted2106","6e+05"
"Slappydoodle","6e+05"
"Wearingabear","6e+05"
"JaytheGreat","6e+05"
"Omij","6e+05"
"Crazylemire","6e+05"
"MrPrime","6e+05"
"Security Shark","6e+05"
"Muerto","6e+05"
"NYR73","6e+05"
"Frenchie","6e+05"
"Jorec","6e+05"
"ZootTX","6e+05"
"downer","6e+05"
"JR95","6e+05"
"NaomiMannequeen","6e+05"
"NUCK","6e+05"
"Repgnar","6e+05"
"Figgy","6e+05"
"sliceruser","6e+05"
"Dash","6e+05"
"roastpuff","6e+05"
"Jumbobone19","6e+05"
"Toivo","6e+05"
"CapnCooper","6e+05"
"Operation Ivy","6e+05"
"Tripl3tsGamer","6e+05"
"hockeyfan","6e+05"
"mystick","6e+05"
"C9Van","6e+05"
"Stanger77","6e+05"
"jacobcarson877","6e+05"
"Inf1d3l","6e+05"
"lemonoppy","6e+05"
"ItsBooth","6e+05"
"CreHuf8","6e+05"
"Soviet Sexpot","6e+05"
"ibuprofenaddict","6e+05"
"MuNk22","6e+05"
"OrbitingDeath","6e+05"
"dankoa","6e+05"
"Nike","6e+05"
"Takk806","6e+05"
"Wheels","6e+05"
"phoenix","6e+05"
"Australiankek","6e+05"
"Lime","6e+05"
"Serpe x 13","6e+05"
"Thunfish","6e+05"
"Katth","6e+05"
"jbay7","6e+05"
"micool132","6e+05"
"Possum Queen","6e+05"
"JellyRamp","6e+05"
"jjlangabeer","6e+05"
"MikeLiut","6e+05"
"soevil","6e+05"
"Weaves","6e+05"
"ThatDamnWalrus","6e+05"
"Rabidsponge21","6e+05"
"MrPresident","6e+05"
"Anthique","6e+05"
"taterswc","6e+05"
"Urq660","6e+05"
"xjoverax","6e+05"
"Peyton","6e+05"
"WildfireMicro","6e+05"
"Renomitsu","6e+05"
"NJBadApple","6e+05"
"leafsftw1967","6e+05"
"PapaSorin","6e+05"
"TheOPSquid","6e+05"
"No Goal","6e+05"
"Vandy","6e+05"
"Shiamus","6e+05"
"prattk1987","6e+05"
"ec06aaj","6e+05"
"swoosh","6e+05"
"BarnabasCollins","6e+05"
"Smirnov Light","6e+05"
"ShadowFenix","6e+05"
"thiefofcheese","6e+05"
"retuperkele","6e+05"
"FnoRespect","6e+05"
