"username","amount"
"Count Chocula","1e+05"
"ACapitalChicago","1e+05"
"Mrkarma94","1e+05"
"Mr35","1e+05"
"OhFuckALawyer","1e+05"
"Jeffsan21","1e+05"
"noxu","1e+05"
"Valpix","1e+05"
"Dynamicmlb_42","1e+05"
"ProjectSaint","1e+05"
"WannabeFinn","1e+05"
"Hetaksh","2e+05"
"SpartanGibbles","2e+05"
"Zerg","2e+05"
"Caleb","2e+05"
"RAmenAmen","2e+05"
"PonceAR","2e+05"
"swoosh","2e+05"
"Smirnov Light","2e+05"
"Shiamus","2e+05"
"jsteele14","2e+05"
"hannahg32","2e+05"
"Sburbine","2e+05"
"Goose","2e+05"
"Waters","2e+05"
"DoctorNomad","2e+05"
"Jumbo","2e+05"
"ec06aaj","2e+05"
"vbottas17","2e+05"
"Rabidsponge21","2e+05"
"JuOSu","2e+05"
"taterswc","2e+05"
"ThePyroAlpaca","2e+05"
"Mavewick","2e+05"
"Wrehkz","2e+05"
"mystick","2e+05"
"AW13","2e+05"
"Evok","2e+05"
"NYR73","2e+05"
"lemonoppy","2e+05"
"Tdan04","2e+05"
"Muford","2e+05"
"goldenglutes","2e+05"
"Gunde ""viking"" Svan","2e+05"
"dankoa","2e+05"
"Neadex","2e+05"
"Kybel","2e+05"
"PorgBoi","2e+05"
"Aurora","2e+05"
"NamesMonday","2e+05"
"Starchychaff","2e+05"
"Deecee98","2e+05"
"Jagg102","2e+05"
"Cobbenstein","2e+05"
"karey","2e+05"
"kahri","3e+05"
"Sevrin","3e+05"
"Evil_AllBran","3e+05"
"MikeLiut","3e+05"
"Wally","3e+05"
"Jorec","4e+05"
"mattebleu","4e+05"
"Astro","4e+05"
"Serpe x 13","4e+05"
"MightyMulder","4e+05"
"Duff101","4e+05"
"Toast","4e+05"
"MattyIce","4e+05"
"MattyJ","4e+05"
"Australiankek","4e+05"
"Ara","4e+05"
"golden_apricot","4e+05"
"Massive Coiler","4e+05"
"Gwdjohnson","4e+05"
"Gallade081","4e+05"
"yosh","4e+05"
"damienj10","4e+05"
"RashfordU","4e+05"
"hhh81","4e+05"
"JNH","4e+05"
"skyrrhawk","4e+05"
"Rokkat","4e+05"
"sofiem964","4e+05"
"HillsHaveHats","4e+05"
"KalixIzalumi","4e+05"
"sliceruser","4e+05"
"Lumosityfan","4e+05"
"CM Syckez","4e+05"
"CybershadeEDM","4e+05"
"Jackienape","4e+05"
"Andy","4e+05"
"ephenssta","4e+05"
"Mooty99","4e+05"
"kdr","4e+05"
"MrRuihu","4e+05"
"Vaxlare","4e+05"
"bfan8475","4e+05"
"patricianlobster","4e+05"
"Accka","4e+05"
"Rookyi","5e+05"
"Tesla","5e+05"
"Jepox","5e+05"
"LampLighter","6e+05"
"Weaves","6e+05"
"pboomg","6e+05"
"Baron1898","6e+05"
"midknight","6e+05"
"Aephino","6e+05"
"Anthique","6e+05"
"HabsFanFromOntario","6e+05"
"No Goal","6e+05"
"Noruoficeland","6e+05"
"Huck24","6e+05"
"kb.m","6e+05"
"NJBadApple","6e+05"
"OVOXO","6e+05"
"Chris","6e+05"
"Cycro","6e+05"
"Mongoose87","6e+05"
"Ivornen","6e+05"
"Inf1d3l","6e+05"
"micool132","6e+05"
"lunaripcole","6e+05"
"Schocar","6e+05"
"egregious","6e+05"
"DarthDaevin","6e+05"
"Alaska","6e+05"
"ZootTX","6e+05"
"roquefort","6e+05"
"Thunfish","6e+05"
"Rtpc31","6e+05"
"Brenadyr","6e+05"
"ztevans","6e+05"
"Scrufdaddy","6e+05"
"roastpuff","6e+05"
"Bongo","6e+05"
"hockeymil","6e+05"
"soulja","6e+05"
"ocho","6e+05"
"o1playz","6e+05"
"Carpy48","6e+05"
"LordBirdman","6e+05"
"plummdogmillionaire","6e+05"
"Statistic","6e+05"
"Nike","6e+05"
"Dash","6e+05"
"Magenta","6e+05"
"TheWoZy","6e+05"
"Conraddvd","6e+05"
"Giof","6e+05"
"RainDelay","6e+05"
"Operation Ivy","6e+05"
"saggylumps","6e+05"
"Juho","6e+05"
"bobdigi9","6e+05"
"Vice","6e+05"
"Beavie","6e+05"
"Nol15736","6e+05"
"Dewalt27","6e+05"
"LeakyCink","6e+05"
"Lime","6e+05"
"Tmoney6996","6e+05"
"By-Tor","6e+05"
"zeagle1","6e+05"
"SilverBlitzenAG","6e+05"
"SG_Vesuvius","6e+05"
"Esso2264","6e+05"
"efischermann","6e+05"
"sköldpaddor","6e+05"
"Stamkos Is My Dad","6e+05"
"JohnFranklinKennedy","6e+05"
"Rotti","6e+05"
"FaraDian","6e+05"
"tredpalo","6e+05"
"CptSquall","6e+05"
"Papajon","6e+05"
"Briedaqueduc","6e+05"
"sve7en","6e+05"
"Toivo","6e+05"
"Mutedfaith","6e+05"
"the5urreal","6e+05"
"scudmuffin19","6e+05"
"Heppis","6e+05"
"Deli","6e+05"
"Zinny","6e+05"
"NordicNailer","6e+05"
"Gaia Mormont","6e+05"
"Marshi","6e+05"
"Jimbo1990","6e+05"
"charlieconway","6e+05"
