"username","amount"
"Morethanjustaguy","1e+05"
"G2019","1e+05"
"tidepodgod08","1e+05"
"Jjweimar","1e+05"
"boxman498","1e+05"
"RileyMath","1e+05"
"DETisHockeytown","1e+05"
"w3nvy","1e+05"
"kahri","1e+05"
"luke","1e+05"
"ScarlettMantis","1e+05"
"Ace","1e+05"
"beach_kidd42","1e+05"
"WannabeFinn","1e+05"
"Kami1931","2e+05"
"skyrrhawk","2e+05"
"Chris","2e+05"
"NYR73","2e+05"
"Whitecap","2e+05"
"Shiamus","2e+05"
"xenosthelegend","2e+05"
"mer","2e+05"
"koty_k","2e+05"
"Joriel","2e+05"
"jaypc8237","2e+05"
"LampLighter","2e+05"
"ForSucksFake","2e+05"
"sköldpaddor","2e+05"
"Andy","2e+05"
"kb.m","2e+05"
"Habsfan_nick","2e+05"
"Casey","2e+05"
"Tet","2e+05"
".Laser","2e+05"
"SilverBlitzenAG","2e+05"
"babufrik","2e+05"
"Kyamprac","2e+05"
"hockeyfan","2e+05"
"DApolloS","2e+05"
"Conraddvd","2e+05"
"mattebleu","2e+05"
"JuOSu","2e+05"
"uzxi","2e+05"
"amjohnson636","2e+05"
"BANACKOCK","2e+05"
"jreiser18","2e+05"
"Ast_12","2e+05"
"fancey13","2e+05"
"Rtpc31","2e+05"
"LeakyCink","2e+05"
"Caspwad","2e+05"
"ephenssta","2e+05"
"Mongoose87","2e+05"
"RobJG2","2e+05"
"JohnFranklinKennedy","3e+05"
"Melody Gearhart","3e+05"
"Suneater","3e+05"
"Katth","4e+05"
"golden_apricot","4e+05"
"Brenadyr","4e+05"
"Anthique","4e+05"
"captainsb","4e+05"
"Puppy","4e+05"
"Dextaria","4e+05"
"Allegiant","4e+05"
"frithjofr","4e+05"
"Alaska","4e+05"
"Nike","4e+05"
"FuriousChicken","4e+05"
"plummdogmillionaire","4e+05"
"Marshi","4e+05"
"Daleks","4e+05"
"AuggieO","4e+05"
"OhhClampz","4e+05"
"corbz","4e+05"
"Thunder39","4e+05"
"NYRangers","4e+05"
"Louchyz","4e+05"
"Tmoney6996","4e+05"
"prattk1987","4e+05"
"VerdantSky","4e+05"
"FingolfinandRingil","4e+05"
"BigHops","4e+05"
"ibuprofenaddict","4e+05"
"cowbutch","5e+05"
"sixhausen","5e+05"
"Bluedog25123","5e+05"
"Soviet Sexpot","5e+05"
"Urq660","5e+05"
"Jajabinks","5e+05"
"Scrufdaddy","6e+05"
"diacope","6e+05"
"ANARossJohnstonFan44","6e+05"
"bobdigi9","6e+05"
"Huck24","6e+05"
"Metafiction","6e+05"
"egregious","6e+05"
"Shmelmorg","6e+05"
"KalixIzalumi","6e+05"
"ShadowFenix","6e+05"
"Gaunthor","6e+05"
"LtBlackGrizzly","6e+05"
"Obsolete","6e+05"
"micool132","6e+05"
"McAl95","6e+05"
"TubaDeus","6e+05"
"Operation Ivy","6e+05"
"Zerg","6e+05"
"Pandar","6e+05"
"MyLittleHexx","6e+05"
"Duilio05","6e+05"
"Arkz","6e+05"
"zeagle1","6e+05"
"sofiem964","6e+05"
"CybershadeEDM","6e+05"
"vbottas17","6e+05"
"Durodo","6e+05"
"Toivo","6e+05"
"RainDelay","6e+05"
"mcpumpkin","6e+05"
"NessleKrunk","6e+05"
"Jorec","6e+05"
"WillySaad","6e+05"
"Valpix","6e+05"
"puolivalmiste","6e+05"
"Muerto","6e+05"
"BoxOfRox","6e+05"
"soulja","6e+05"
"tomtommen","6e+05"
"Sajkashi","6e+05"
"Norm McDangles","6e+05"
"CptSquall","6e+05"
"Aephino","6e+05"
"Gaia Mormont","6e+05"
"Definia","6e+05"
"Dziadek93","6e+05"
"Ivornen","6e+05"
"icnatspel","6e+05"
"homercrates","6e+05"
"Toaster","6e+05"
"Thunfish","6e+05"
"Palace_Posy524","6e+05"
"Domino","6e+05"
"Salming","6e+05"
"MrPresident","6e+05"
"Weaves","6e+05"
"Voltagefusion","6e+05"
"Clint Eastwood","6e+05"
"Southie","6e+05"
"spidey","6e+05"
"Emiya","6e+05"
"daghostinside","6e+05"
"By-Tor","6e+05"
"TheGame052","6e+05"
"Juho","6e+05"
"swoosh","6e+05"
"FourFour","6e+05"
"Inf1d3l","6e+05"
"Dangles13","6e+05"
"Mtstreaks04","6e+05"
"Tesla","6e+05"
"FaeFiyaa","6e+05"
"noahbogue","6e+05"
"Ashes","6e+05"
"Carpy48","6e+05"
"nawso","6e+05"
"efischermann","6e+05"
"NorwegianDemon","6e+05"
"tredpalo","6e+05"
"MuNk22","6e+05"
"Chara-zard","6e+05"
"Dman2213","6e+05"
"roquefort","6e+05"
"Dash","6e+05"
"TipToasty","6e+05"
"ihatereyson","6e+05"
"NoFace","6e+05"
"Gifter of Bikes","6e+05"
"Chevy","6e+05"
"Brandon","6e+05"
"Gallade081","6e+05"
"NJBadApple","6e+05"
"bluesfan55","6e+05"
"roastpuff","6e+05"
"CapnCooper","6e+05"
"CamGoldenGun","6e+05"
"schotte74","6e+05"
"hockeymil","6e+05"
"Rich","6e+05"
"bbp","6e+05"
"Happytimes","6e+05"
"5ympathies","6e+05"
"Moreorless89","6e+05"
"LadyLunaria","6e+05"
"sobrien6187","6e+05"
"Murtsi","6e+05"
"admiralballtr8s","6e+05"
"SauceM","6e+05"
"uhnp","6e+05"
"Lpapi","6e+05"
"slothfacekilla","6e+05"
"LukeToussaint","6e+05"
"Turbanator","6e+05"
"jason97","6e+05"
"JumpierPegasus","6e+05"
"CementHands","6e+05"
"bjkman","6e+05"
"leafsftw1967","6e+05"
"birb","6e+05"
"OrbitingDeath","6e+05"
"RoyRivers","6e+05"
"Nol15736","6e+05"
"Renomitsu","6e+05"
"Wind Savon","6e+05"
"WildfireMicro","6e+05"
"EricNCSU","6e+05"
"Jakesdy","6e+05"
"Ronniewalker","6e+05"
"Leatherneckmike","6e+05"
"Back4Mor","6e+05"
"jacobcarson877","6e+05"
"CharethCutestory78","6e+05"
