"username","amount"
"Count Chocula","1e+05"
"oknom","1e+05"
"Papajon","1e+05"
"Morethanjustaguy","1e+05"
"Melody Gearhart","1e+05"
"cake307","1e+05"
"dantejgc","1e+05"
"GingerJLD","1e+05"
"kahri","1e+05"
"JohnFranklinKennedy","1e+05"
"Seaside","1e+05"
"Rich","1e+05"
"Jjweimar","1e+05"
"Mongoose87","1e+05"
"billiebee","1e+05"
"WannabeFinn","1e+05"
"Kami1931","2e+05"
"ShadowFenix","2e+05"
".bojo","2e+05"
"golden_apricot","2e+05"
"Shiamus","2e+05"
"mer","2e+05"
"tredpalo","2e+05"
"kb.m","2e+05"
"EngynGameOver","2e+05"
"sköldpaddor","2e+05"
"Pandar","2e+05"
"Summerstood","2e+05"
"Dangles13","2e+05"
"MattyIce","2e+05"
"Chris","2e+05"
"MrRuihu","2e+05"
"Punk42AE","2e+05"
"Nol15736","2e+05"
"Kyamprac","2e+05"
"Artemis","2e+05"
"Vumion","2e+05"
"Habsfan_nick","2e+05"
"Rancidbudgie","2e+05"
"sixhausen","2e+05"
"Murtsi","2e+05"
"OhhClampz","2e+05"
"Chaseapplebomb","2e+05"
"DETisHockeytown","2e+05"
"Metafiction","2e+05"
"Otis Boudreaux","2e+05"
"cowbutch","2e+05"
"Dynamicmlb_42","2e+05"
"Chevy","2e+05"
"corbz","2e+05"
"Bfine","2e+05"
".Laser","2e+05"
"amjohnson636","2e+05"
"ephenssta","2e+05"
"babufrik","2e+05"
"Ashes","2e+05"
"Inf1d3l","3e+05"
"spidey","3e+05"
"vendettaca","3e+05"
"SilverBlitzenAG","4e+05"
"Jorec","4e+05"
"skyrrhawk","4e+05"
"Brandon","4e+05"
"hockeyfan","4e+05"
"AuggieO","4e+05"
"Katth","4e+05"
"Skeezer","4e+05"
"NoFace","4e+05"
"soulja","4e+05"
"Moreorless89","4e+05"
"jreiser18","4e+05"
"VerdantSky","4e+05"
"sofiem964","4e+05"
"anywheresoundsnice","4e+05"
"egregious","4e+05"
"Marshi","4e+05"
"CybershadeEDM","4e+05"
"bluesfan55","4e+05"
"CptSquall","4e+05"
"Dextaria","4e+05"
"WildfireMicro","4e+05"
"Tmoney6996","4e+05"
"SauceM","5e+05"
"BoxOfRox","5e+05"
"AJW","5e+05"
"Scrufdaddy","6e+05"
"Shmelmorg","6e+05"
"Lpapi","6e+05"
"Bluedog25123","6e+05"
"mattebleu","6e+05"
"micool132","6e+05"
"homercrates","6e+05"
"swoosh","6e+05"
"Palace_Posy524","6e+05"
"bigbluex02","6e+05"
"xenosthelegend","6e+05"
"jason97","6e+05"
"MyLittleHexx","6e+05"
"Weaves","6e+05"
"Huck24","6e+05"
"hockeymil","6e+05"
"Valpix","6e+05"
"NorwegianDemon","6e+05"
"Operation Ivy","6e+05"
"NessleKrunk","6e+05"
"Ivornen","6e+05"
"Stamkos Is My Dad","6e+05"
"Chara-zard","6e+05"
"Caspwad","6e+05"
"zeagle1","6e+05"
"icnatspel","6e+05"
"Durodo","6e+05"
"Thunfish","6e+05"
"mcpumpkin","6e+05"
"plummdogmillionaire","6e+05"
"Kikou","6e+05"
"Daleks","6e+05"
"Sajkashi","6e+05"
"McAl95","6e+05"
"Juho","6e+05"
"TubaDeus","6e+05"
"Arkz","6e+05"
"vbottas17","6e+05"
"leafsftw1967","6e+05"
"Back4Mor","6e+05"
"Jajabinks","6e+05"
"DigDoug11","6e+05"
"Clint Eastwood","6e+05"
"MrPresident","6e+05"
"puolivalmiste","6e+05"
"Gaia Mormont","6e+05"
"Renomitsu","6e+05"
"Toaster","6e+05"
"Duilio05","6e+05"
"Louchyz","6e+05"
"Salming","6e+05"
"Aephino","6e+05"
"Nike","6e+05"
"Dziadek93","6e+05"
"Muerto","6e+05"
"LadyLunaria","6e+05"
"KalixIzalumi","6e+05"
"Dash","6e+05"
"Vrain","6e+05"
"admiralballtr8s","6e+05"
"Urq660","6e+05"
"roquefort","6e+05"
"Tesla","6e+05"
"Turbanator","6e+05"
"TheGame052","6e+05"
"JR95","6e+05"
"nasbase","6e+05"
"captainsb","6e+05"
"bjkman","6e+05"
"retuperkele","6e+05"
"bobdigi9","6e+05"
"TipToasty","6e+05"
"jfv888","6e+05"
"FourFour","6e+05"
"Keven","6e+05"
"robstien","6e+05"
"Voltagefusion","6e+05"
"Dman2213","6e+05"
"Obsolete","6e+05"
"ihatereyson","6e+05"
"sc1zzO","6e+05"
"ByrdeMan","6e+05"
"uhnp","6e+05"
"Toivo","6e+05"
"Carpy48","6e+05"
"tomtommen","6e+05"
"Gaunthor","6e+05"
"sobrien6187","6e+05"
"visceralpotamus","6e+05"
"LukeToussaint","6e+05"
"Anthique","6e+05"
"iamslm22","6e+05"
"CharethCutestory78","6e+05"
"NJBadApple","6e+05"
"RoyRivers","6e+05"
"Suneater","6e+05"
"laynr.h","6e+05"
"mkp224","6e+05"
"PhuZeRK","6e+05"
"By-Tor","6e+05"
"CRMO15","6e+05"
"roastpuff","6e+05"
"5ympathies","6e+05"
"CamGoldenGun","6e+05"
"brolafleur9","6e+05"
"nawso","6e+05"
"JumpierPegasus","6e+05"
"Hoodz_91","6e+05"
"zeekthegeek","6e+05"
"prattk1987","6e+05"
"noahbogue","6e+05"
"Soviet Sexpot","6e+05"
"Butters","6e+05"
"Rindiee","6e+05"
"Jexter","6e+05"
"Gifter of Bikes","6e+05"
"jacobcarson877","6e+05"
"Rtpc31","6e+05"
"FaeFiyaa","6e+05"
"hhh81","6e+05"
"OrbitingDeath","6e+05"
"Ronniewalker","6e+05"
"McLumberjack","6e+05"
"Quitolis","6e+05"
"leviadan","6e+05"
"CementHands","6e+05"
"Vandy","6e+05"
"Lorenzion","6e+05"
"Bloodless","6e+05"
"Gallade081","6e+05"
"diacope","6e+05"
"ViN","6e+05"
"schotte74","6e+05"
"Chris-McZehrl","6e+05"
"bbjygm","6e+05"
"Puppy","6e+05"
"slothfacekilla","6e+05"
"synes7hesia","6e+05"
"efischermann","6e+05"
"JamesT","6e+05"
"MuNk22","6e+05"
"FingolfinandRingil","6e+05"
"Leatherneckmike","6e+05"
"Jakesdy","6e+05"
"Mtstreaks04","6e+05"
"Troy_McClure03","6e+05"
"notoriousTRON","6e+05"
"scudmuffin19","6e+05"
"Norm McDangles","6e+05"
"birb","6e+05"
"Happytimes","6e+05"
"GreekGod","6e+05"
"icewindoo","6e+05"
"HoodRatRoyalty","6e+05"
"CapnCooper","6e+05"
"ValorX77","6e+05"
"YetiTaz","6e+05"
"Beavie","6e+05"
"Tate","6e+05"
"Blambino","6e+05"
"eerku","6e+05"
"Definia","6e+05"
"xNJRangerFanx","6e+05"
