"username","amount"
"RomanesEuntDomus","1e+05"
"Hummus God","1e+05"
"jj2416","1e+05"
"trashae","1e+05"
"Frenchie","1e+05"
"Wyattt.__","1e+05"
"r0tzbua","1e+05"
"notorioustig","2e+05"
"Runningman434","2e+05"
"LampLighter","2e+05"
"Z-Whiz","2e+05"
"Leoben","2e+05"
"taterswc","2e+05"
"hockeymil","2e+05"
"golden_apricot","2e+05"
"UptownCord","2e+05"
"JohnnyPatey","2e+05"
"vandrewski","2e+05"
"Leppish","2e+05"
"skyrrhawk","2e+05"
"Slappydoodle","2e+05"
"Yktrese","2e+05"
"CrazyMojito","2e+05"
"halanv3ntur3","2e+05"
"Atox","2e+05"
"Lime","2e+05"
"jsteele14","2e+05"
"Toast","2e+05"
"Thor","2e+05"
"Jepox","2e+05"
"WannabeFinn","2e+05"
"Figgy","2e+05"
"Andy","2e+05"
"Rangerjase","2e+05"
"JuOSu","2e+05"
"Accka","2e+05"
"linsangeles","2e+05"
"goldenglutes","2e+05"
"Boomerange","2e+05"
"Spartan","2e+05"
"BadWolf","2e+05"
"Australiankek","2e+05"
"Dhoop","2e+05"
"Inf1d3l","2e+05"
"kit","2e+05"
"SloppyPainter","2e+05"
"Spritestuff","2e+05"
"wizard_literal","2e+05"
"NYR73","2e+05"
"Ruggsy","2e+05"
"Arcalegion","2e+05"
"sköldpaddor","2e+05"
"Zema","2e+05"
"UberBJ","2e+05"
"DorkDipplet","2e+05"
"Boomcheck","3e+05"
"Huck24","3e+05"
"bjkman","3e+05"
"FaraDian","3e+05"
"JasonHopefully","3e+05"
"ephenssta","3e+05"
"Mutedfaith","4e+05"
"Scrufdaddy","4e+05"
"Bamford13","4e+05"
"caltroit_red_flames","4e+05"
"natedoeshockey","4e+05"
"Ultimatedestroye","4e+05"
"SpartanGibbles","4e+05"
"Rotti","4e+05"
"Fitted2106","4e+05"
"ihatereyson","4e+05"
"RaidTheArcade","4e+05"
"ImShiny","4e+05"
"liebolda","4e+05"
"Steelflex","4e+05"
"WonderBread","4e+05"
"Whitecap","4e+05"
"Henrik","4e+05"
"EricNCSU","4e+05"
"NONAME","4e+05"
"MrPrime","4e+05"
"Grapehead","4e+05"
"Missjmt","4e+05"
