"col1","col2"
"DrunkenTeddy","1e+05"
"Leoben","1e+05"
"ACapitalChicago","1e+05"
"Samsung virtual assistant","1e+05"
"yosh","1e+05"
"echlyrica","1e+05"
"RashfordU","1e+05"
"liebolda","1e+05"
"esilverm","1e+05"
"Fluw","1e+05"
"Nhamlet","1e+05"
"Atox","1e+05"
"Flowseidon","1e+05"
"HabsFanFromOntario","1e+05"
"hotdog","1e+05"
"TheRoyalEmpoleon","1e+05"
"TheDangaZone","2e+05"
"zeagle1","2e+05"
"ValorX77","2e+05"
"boom","2e+05"
"Muerto","2e+05"
"natedoeshockey","2e+05"
"Accka","2e+05"
"Josh Latreille","2e+05"
"NYR73","2e+05"
"Gadget","2e+05"
"Wheels","2e+05"
"mer","2e+05"
"Lime","2e+05"
"raymond3000","2e+05"
"Scrufdaddy","2e+05"
"5ympathies","2e+05"
"Thunfish","2e+05"
"Ohtaay","3e+05"
"JT3","3e+05"
"TheHammer43","3e+05"
"sköldpaddor","3e+05"
"Dindog","4e+05"
"MMFLEX","4e+05"
"st4rface","4e+05"
"WannabeFinn","4e+05"
"mcpumpkin","4e+05"
"Evil_AllBran","4e+05"
"CptSquall","4e+05"
"BANACKOCK","4e+05"
"Andy","4e+05"
"the5urreal","4e+05"
"Nike","4e+05"
"UptownCord","4e+05"
"hockeyfan","4e+05"
"bluesfan55","4e+05"
"Australiankek","4e+05"
"SpartanGibbles","4e+05"
"Operation Ivy","4e+05"
"hewasajazzman","5e+05"
"Henrik","5e+05"
"mastersheep","5e+05"
"LordBallGag","5e+05"
"OrbitingDeath","5e+05"
"Nictox","5e+05"
"Toivo","5e+05"
"Chevy","6e+05"
"downer","6e+05"
"mystick","6e+05"
"Crash_Conrad","6e+05"
"spidey","6e+05"
"FaraDian","6e+05"
"golden_apricot","6e+05"
"Wearingabear","6e+05"
"Aneeqs","6e+05"
"C9Van","6e+05"
"Ronniewalker","6e+05"
"tomtommen","6e+05"
"LeSizz","6e+05"
"Carpy48","6e+05"
"jbay7","6e+05"
"hhh81","6e+05"
"Tesla","6e+05"
"Possum Queen","6e+05"
"Estovich","6e+05"
"JamesT","6e+05"
"Seany148","6e+05"
"domffl","6e+05"
"Hungy Fella","6e+05"
"NorwegianDemon","6e+05"
"CementHands","6e+05"
"Southie","6e+05"
"KaleSalad","6e+05"
"slothfacekilla","6e+05"
"efischermann","6e+05"
"retuperkele","6e+05"
"Punk42AE","6e+05"
"RainDelay","6e+05"
"leviadan","6e+05"
"leafsftw1967","6e+05"
"FuriousChicken","6e+05"
"MyLittleHexx","6e+05"
"TnlAstatine","6e+05"
"DorkDipplet","6e+05"
"Eggcracker9","6e+05"
"BarnabasCollins","6e+05"
"erikvm","6e+05"
"Anthique","6e+05"
"WildfireMicro","6e+05"
"CapnCooper","6e+05"
"Salming","6e+05"
"SewingWithNancy","6e+05"
"Sburbine","6e+05"
"steveoiscool","6e+05"
".bojo","6e+05"
"MikeLiut","6e+05"
"Keven","6e+05"
"39alaska39","6e+05"
"SledgehammerPete","6e+05"
"micool132","6e+05"
"Marcul_le_depanneur","6e+05"
"kenvald","6e+05"
"bbjygm","6e+05"
"JuOSu","6e+05"
