"username","amount"
"WannabeFinn","1e+05"
"Carpy48","2e+05"
"skyrrhawk","2e+05"
"MrPrime","2e+05"
"DigDoug11","2e+05"
"Hugh Jass","2e+05"
"golden_apricot","2e+05"
"Jonnyhockey17","2e+05"
"bjkman","2e+05"
"Shiamus","2e+05"
"fridayhungary","2e+05"
"ThisSeemsFishy","2e+05"
"LeakyCink","2e+05"
"Hacob","2e+05"
"mer","2e+05"
"notoriousTRON","2e+05"
"Casey","2e+05"
"robstien","2e+05"
"LampLighter","2e+05"
"OhhClampz","2e+05"
"Chris","2e+05"
".Laser","2e+05"
"jreiser18","2e+05"
"rjmw","2e+05"
"HanTheMan_","2e+05"
"Izzygad_","2e+05"
"Rindiee","2e+05"
"Grizzly","2e+05"
"Vulfzilla","2e+05"
"Squid","2e+05"
"Melody Gearhart","2e+05"
"EverFor","2e+05"
"Hex5","2e+05"
"ilgatto","2e+05"
"MightyMulder","2e+05"
"anywheresoundsnice","2e+05"
"caltroit_red_flames","2e+05"
"PerryPHX","2e+05"
"EricNCSU","2e+05"
"Reno","2e+05"
"Neko","2e+05"
"FaeFiyaa","3e+05"
"Toivo","3e+05"
"sixhausen","3e+05"
"bbp","4e+05"
"MattyIce","4e+05"
"Jorec","4e+05"
"SilverBlitzenAG","4e+05"
"Huck24","4e+05"
"bigbluex02","4e+05"
"Wally","4e+05"
"Lasagna16","4e+05"
"Pandar","4e+05"
"Toaster","4e+05"
"Obsolete","4e+05"
"CementHands","4e+05"
"zeagle1","4e+05"
"puolivalmiste","4e+05"
"leafsftw1967","4e+05"
"Kikou","4e+05"
"captainsb","4e+05"
"Turbanator","4e+05"
"Weaves","4e+05"
"jfv888","4e+05"
"CloudRobot","4e+05"
"admiralballtr8s","4e+05"
"Mtstreaks04","4e+05"
"Suneater","4e+05"
"ephenssta","4e+05"
"soulja","4e+05"
"TheAmericanPineapple","4e+05"
"Murtsi","4e+05"
"FourFour","4e+05"
"Thunfish","4e+05"
"ibuprofenaddict","4e+05"
"Moreorless89","4e+05"
"ManiaxSH","4e+05"
"NorwegianDemon","4e+05"
"Katth","4e+05"
"sobrien6187","4e+05"
"FuriousChicken","5e+05"
"Bfine","5e+05"
"Durodo","5e+05"
"Inf1d3l","5e+05"
"Scrufdaddy","6e+05"
"Revari","6e+05"
"swoosh","6e+05"
"jbremo","6e+05"
"NessleKrunk","6e+05"
"Shmelmorg","6e+05"
"xenosthelegend","6e+05"
"Clint Eastwood","6e+05"
"micool132","6e+05"
