"username","amount"
"vandrewski","1e+05"
"hotdog","1e+05"
"Benpachi","1e+05"
"Leppish","1e+05"
"reflirt","1e+05"
"FaraDian","1e+05"
"Dynamicmlb_42","1e+05"
"Valpix","1e+05"
"sköldpaddor","1e+05"
"TheHockey_Pro","1e+05"
"Ace","1e+05"
"WannabeFinn","1e+05"
"hannahg32","2e+05"
"ihatereyson","2e+05"
"GraylessRex","2e+05"
"NaomiMannequeen","2e+05"
"Repgnar","2e+05"
"AW13","2e+05"
"natedoeshockey","2e+05"
"Tesla","2e+05"
"droop","2e+05"
"Rengoku","2e+05"
"zeagle1","2e+05"
"golden_apricot","2e+05"
"juniped","2e+05"
"RainDelay","2e+05"
"JohnnyPatey","2e+05"
"Samsung virtual assistant","2e+05"
"Steelflex","2e+05"
"redwings26135","2e+05"
"Kasterborous","2e+05"
"Waters","2e+05"
"Jexter","2e+05"
"MMFLEX","2e+05"
"JuOSu","2e+05"
"MikeLiut","2e+05"
"MrPrime","2e+05"
"JNH","2e+05"
"G2019","2e+05"
"EmoLeBron","2e+05"
"Jepox","2e+05"
"okestboomer","2e+05"
"Spkris","2e+05"
"baz","2e+05"
"sliceruser","2e+05"
"Noctoris","2e+05"
"Fitted2106","2e+05"
"KaleSalad","2e+05"
"Froste39","2e+05"
"Harley x55","2e+05"
"GreyGooseVodka","2e+05"
"ephenssta","2e+05"
"Eggcracker","2e+05"
"Ultimatedestroye","4e+05"
"Katth","4e+05"
"SpartanGibbles","4e+05"
"Whitecap","4e+05"
"TBFAW","4e+05"
"Anthique","4e+05"
"RaidTheArcade","4e+05"
"Cuffy","4e+05"
"Bongo","4e+05"
"Lumosityfan","4e+05"
"JustHereToLeave","4e+05"
"ZootTX","4e+05"
"Grum","4e+05"
"Baron","4e+05"
"MattyIce","4e+05"
"ShadowFenix","4e+05"
"Toivo","4e+05"
"Jorec","4e+05"
"CementHands","4e+05"
"C9Van","4e+05"
"Punk42AE","4e+05"
"Arctic","4e+05"
"Gyro_Hero","4e+05"
"jakkysosa","4e+05"
"Ruggsy","4e+05"
"Rtpc31","4e+05"
"egregious","4e+05"
"Wearingabear","4e+05"
"roastpuff","4e+05"
"Charuzu","4e+05"
"mystick","4e+05"
"hockeyboy1","4e+05"
"Aleris","4e+05"
"Andy","4e+05"
"lmao","4e+05"
"skyrrhawk","5e+05"
"OilKing","5e+05"
"Southie","5e+05"
"Chevy","5e+05"
"Carpy48","6e+05"
"jjlangabeer","6e+05"
"Scrufdaddy","6e+05"
"LampLighter","6e+05"
"Schocar","6e+05"
"Ara","6e+05"
"locrianmidwest","6e+05"
"KanameRei","6e+05"
"BANACKOCK","6e+05"
"Chris","6e+05"
"lemonoppy","6e+05"
"Ohtaay","6e+05"
"39alaska39","6e+05"
"Lime","6e+05"
