"col1","col2"
"Samsung virtual assistant","1e+05"
"Atox","1e+05"
"boom","1e+05"
"Henrik","1e+05"
"Whitecap","1e+05"
"HabsFanFromOntario","1e+05"
"Evil_AllBran","1e+05"
"CaesiumXenon","1e+05"
"DrunkenTeddy","1e+05"
"RAmenAmen","1e+05"
"scudmuffin19","1e+05"
"dogwoodmaple","1e+05"
"Thunfish","2e+05"
"SvgeMars","2e+05"
"Punk42AE","2e+05"
"jlutz14","2e+05"
"Festinator","2e+05"
"bluesfan55","2e+05"
"luke","2e+05"
"Raven","2e+05"
"EmoLeBron","2e+05"
"thiefofcheese","2e+05"
"CementHands","2e+05"
"Andy","2e+05"
"teztify","2e+05"
"Katth","2e+05"
"retuperkele","2e+05"
"gurbs","2e+05"
"jtanner20","2e+05"
"Ohtaay","2e+05"
"efischermann","2e+05"
"sköldpaddor","2e+05"
"UptownCord","2e+05"
"Josh Latreille","2e+05"
"SpartanGibbles","2e+05"
"Dindog","2e+05"
"Wearingabear","2e+05"
".bojo","2e+05"
"JNH","2e+05"
"CptSquall","2e+05"
"Matty86","2e+05"
"Z0REM","2e+05"
"Scrufdaddy","2e+05"
"AW13","2e+05"
"Nike","2e+05"
"micool132","2e+05"
"Nhamlet","2e+05"
"Flowseidon","2e+05"
"LarryTheMVP","2e+05"
"TheHammer43","3e+05"
"Valpix","3e+05"
"leafsftw1967","3e+05"
"NorwegianDemon","3e+05"
"Ashes","4e+05"
"McGriddy10","4e+05"
"mee","4e+05"
"Wheels","4e+05"
"Crash_Conrad","4e+05"
"Frenchie","4e+05"
"zeagle1","4e+05"
"LordBallGag","4e+05"
"WannabeFinn","4e+05"
"hockeyfan","4e+05"
"st4rface","4e+05"
"BANACKOCK","4e+05"
"Aephino","4e+05"
"yosh","4e+05"
"Snussu","4e+05"
"mcpumpkin","4e+05"
"MMFLEX","4e+05"
"domffl","4e+05"
"JuOSu","4e+05"
"natedoeshockey","4e+05"
"Ronniewalker","4e+05"
"hewasajazzman","4e+05"
"Reedy0rNot","5e+05"
"puolivalmiste","5e+05"
"Lime","5e+05"
"KaleSalad","5e+05"
"linsangeles","5e+05"
"Carpy48","5e+05"
"JT3","5e+05"
"Chevy","5e+05"
"MyLittleHexx","5e+05"
"C9Van","6e+05"
"Southie","6e+05"
"LeSizz","6e+05"
"jbay7","6e+05"
"mastersheep","6e+05"
"WildfireMicro","6e+05"
"mystick","6e+05"
"downer","6e+05"
"Eggcracker9","6e+05"
"soevil","6e+05"
"tomtommen","6e+05"
"steveoiscool","6e+05"
"JamesT","6e+05"
"erikvm","6e+05"
"golden_apricot","6e+05"
"the5urreal","6e+05"
"spidey","6e+05"
"Seany148","6e+05"
"OrbitingDeath","6e+05"
"slothfacekilla","6e+05"
"Australiankek","6e+05"
"Tesla","6e+05"
"BarnabasCollins","6e+05"
"FaraDian","6e+05"
"Tanner","6e+05"
"Nictox","6e+05"
"leviadan","6e+05"
"Sburbine","6e+05"
"Toivo","6e+05"
"ValorX77","6e+05"
"Aneeqs","6e+05"
"MikeLiut","6e+05"
"TheDangaZone","6e+05"
"Marcul_le_depanneur","6e+05"
"39alaska39","6e+05"
"Salming","6e+05"
"bbjygm","6e+05"
"RainDelay","6e+05"
"SledgehammerPete","6e+05"
"FuriousChicken","6e+05"
"hhh81","6e+05"
"Operation Ivy","6e+05"
"kenvald","6e+05"
"Keven","6e+05"
"CapnCooper","6e+05"
"chetib","6e+05"
"Anthique","6e+05"
