"username","amount"
"sköldpaddor","1e+05"
"JMill1441","1e+05"
"fancey13","1e+05"
"Eggcracker","1e+05"
"DigDoug11","1e+05"
"NYR73","2e+05"
"FnoRespect","2e+05"
"Baron1898","2e+05"
"Gordon Bombay","2e+05"
"RashfordU","2e+05"
"Shiamus","2e+05"
"golden_apricot","2e+05"
"LampLighter","2e+05"
"AuggieO","2e+05"
"Ohtaay","2e+05"
"Raven","2e+05"
"Conraddvd","2e+05"
"Briedaqueduc","2e+05"
"spooked","2e+05"
"SpartanGibbles","2e+05"
"taterswc","2e+05"
"AJW","2e+05"
"Otis Boudreaux","2e+05"
"Bongo","2e+05"
"Habsfan_nick","2e+05"
"Vaxlare","2e+05"
"Jayba1t","2e+05"
"Muford","2e+05"
"HillsHaveHats","2e+05"
"roastpuff","2e+05"
"Jexter","2e+05"
"TomServo","2e+05"
"Lemorse7","2e+05"
"NordicNailer","2e+05"
"Figgy","2e+05"
"HabsFanFromOntario","2e+05"
"Juho","2e+05"
"Giof","2e+05"
"thiefofcheese","2e+05"
"NamesMonday","2e+05"
"WannabeFinn","2e+05"
"Froste39","2e+05"
"Chevy","2e+05"
"zaynzk","2e+05"
"Bauer","2e+05"
"JR95","2e+05"
"Sausage123","2e+05"
"Accka","2e+05"
"Drokeep","3e+05"
"swayzou","3e+05"
"frithjofr","3e+05"
"anuragb","3e+05"
"dankoa","3e+05"
"sadie","4e+05"
"Astro","4e+05"
"Noruoficeland","4e+05"
"Bamford13","4e+05"
"PorgBoi","4e+05"
"Thatonedude","4e+05"
"MightyMulder","4e+05"
"lunaripcole","4e+05"
"Magenta","4e+05"
"Toast","4e+05"
"oknom","4e+05"
"mer","4e+05"
"Dewalt27","4e+05"
"MattyJ","4e+05"
"PixelNick13","4e+05"
"ZodiacEXE","4e+05"
"zeagle1","4e+05"
"Anthique","4e+05"
"LeakyCink","4e+05"
"Rotti","4e+05"
"PonceAR","4e+05"
"o1playz","4e+05"
"Australiankek","4e+05"
"Nike","4e+05"
"ztevans","4e+05"
"BANACKOCK","4e+05"
"itztimg","4e+05"
"charlieconway","4e+05"
"kdr","4e+05"
"the5urreal","4e+05"
"Rookyi","4e+05"
"DarthDaevin","4e+05"
"Toivo","4e+05"
"Zinny","4e+05"
"cyberseraph","4e+05"
"ctots","4e+05"
"Mr35","4e+05"
"thatguy131","4e+05"
"CybershadeEDM","4e+05"
"Operation Ivy","4e+05"
"ephenssta","4e+05"
"ZootTX","4e+05"
"Heppis","4e+05"
"McGriddy10","4e+05"
