"username","amount"
"Rich","1e+05"
"juniped","1e+05"
"GrïmR3æpêr","1e+05"
"Leppish","1e+05"
"Frenchie","1e+05"
"RAmenAmen","1e+05"
"KaleSalad","1e+05"
"HockeyBear101","1e+05"
"ZootTX","1e+05"
"WannabeFinn","1e+05"
"locrianmidwest","2e+05"
"TheOPSquid","2e+05"
"JNH","2e+05"
"Count Chocula","2e+05"
"Repgnar","2e+05"
"ihatereyson","2e+05"
"Shiamus","2e+05"
"taterswc","2e+05"
"IceeBreaksTheSHL","2e+05"
"Samsung virtual assistant","2e+05"
"Baron","2e+05"
"AW13","2e+05"
"Punk42AE","2e+05"
"CrazyMojito","2e+05"
"Cuffy","2e+05"
"FuriousChicken","2e+05"
"Dangles13","2e+05"
"redwings26135","2e+05"
"Security Shark","2e+05"
"TheGreatOne","2e+05"
"yosh","2e+05"
"Lumosityfan","2e+05"
"natedoeshockey","2e+05"
"Deng","2e+05"
"NaomiMannequeen","2e+05"
"droop","2e+05"
"Bongo","2e+05"
"Halkohol","2e+05"
"Hungy Fella","2e+05"
"JustHereToLeave","2e+05"
"Chevy","2e+05"
"Otis Boudreaux","2e+05"
"Ohtaay","2e+05"
"jiels","2e+05"
"Weaves","2e+05"
"Thelastheraclid","2e+05"
"GreyGooseVodka","2e+05"
"notorioustig","2e+05"
"Kimar","2e+05"
"noxu","2e+05"
"C9Van","2e+05"
"Fluberwusterdinge","2e+05"
"scottisheyebrow","2e+05"
"golden_apricot","2e+05"
"mystick","2e+05"
"SewingWithNancy","2e+05"
"dogwoodmaple","3e+05"
"Lemorse7","3e+05"
"Grum","4e+05"
"Lime","4e+05"
"RainDelay","4e+05"
"MightyMulder","4e+05"
"skyrrhawk","4e+05"
"TonyW19","4e+05"
"Z-Whiz","4e+05"
"Kalakar","4e+05"
"hockeymil","4e+05"
"charlieconway","4e+05"
"39alaska39","4e+05"
"Harley x55","4e+05"
"FaraDian","4e+05"
"Bruins10","4e+05"
"Aephino","4e+05"
"thatguy131","4e+05"
"Jorec","4e+05"
"vbottas17","4e+05"
"roastpuff","4e+05"
"Aleris","4e+05"
"mikebobcat","4e+05"
"Massive Coiler","4e+05"
"Revontulete","4e+05"
"MrPrime","4e+05"
"Shylo_Moxii","4e+05"
"Akoustique","4e+05"
"scudmuffin19","4e+05"
"ConjureBones","4e+05"
"Z0REM","4e+05"
"ZodiacEXE","5e+05"
"JejuDaejiGogi","5e+05"
"jjlangabeer","5e+05"
"Mutedfaith","5e+05"
"BANACKOCK","5e+05"
"Scrufdaddy","6e+05"
"damienj10","6e+05"
"jbay7","6e+05"
"ViN","6e+05"
"Kybel","6e+05"
"Juho","6e+05"
"Serpe x 13","6e+05"
"Schocar","6e+05"
"phoenix","6e+05"
"EmoLeBron","6e+05"
"kahri","6e+05"
"Peyton","6e+05"
"Tripl3tsGamer","6e+05"
"Nike","6e+05"
"No Goal","6e+05"
"Muford","6e+05"
"DETisHockeytown","6e+05"
"CybershadeEDM","6e+05"
"AuggieO","6e+05"
"JaytheGreat","6e+05"
"KalixIzalumi","6e+05"
"zeagle1","6e+05"
"MattyJ","6e+05"
"Takk806","6e+05"
"Katth","6e+05"
"Southie","6e+05"
"gaby","6e+05"
"Andy","6e+05"
"lemonoppy","6e+05"
"Australiankek","6e+05"
"OVOXO","6e+05"
"Huck24","6e+05"
"MrPresident","6e+05"
"Bamford13","6e+05"
"ShadowFenix","6e+05"
"LampLighter","6e+05"
"CptSquall","6e+05"
"egregious","6e+05"
"Operation Ivy","6e+05"
"ztevans","6e+05"
"ThePyroAlpaca","6e+05"
