"username","amount"
"Count Chocula","1e+05"
"Ohtaay","1e+05"
"bjkman","1e+05"
"Henrik","1e+05"
"Belmont","1e+05"
"Evil_AllBran","1e+05"
"Lemorse7","1e+05"
"MrPrime","1e+05"
"WannabeFinn","1e+05"
"FuriousChicken","2e+05"
"dogwoodmaple","2e+05"
"Jumbobone19","2e+05"
"Z-Whiz","2e+05"
"UptownCord","2e+05"
"Harley x55","2e+05"
"JohnnyPatey","2e+05"
"CrazyMojito","2e+05"
"Hoxide","2e+05"
"Noctoris","2e+05"
"ViN","2e+05"
"hockeymil","2e+05"
"G2019","2e+05"
"Cobbenstein","2e+05"
"AW13","2e+05"
"hannahg32","2e+05"
"jj2416","2e+05"
"Atox","2e+05"
"Halkohol","2e+05"
"wizard_literal","2e+05"
"Frenchie","2e+05"
"unconfident69","2e+05"
"a_cupof_bread","2e+05"
"Bamford13","2e+05"
"sköldpaddor","2e+05"
"Leppish","2e+05"
"karey","2e+05"
"Fitted2106","2e+05"
"ephenssta","2e+05"
"liebolda","2e+05"
"kenvald","2e+05"
"Zaitsev","2e+05"
"Andy","2e+05"
"jsteele14","2e+05"
"zaynzk","2e+05"
"Eggcracker","2e+05"
"Runningman434","2e+05"
"MyLittleHexx","2e+05"
"NYR73","2e+05"
"JasonHopefully","2e+05"
"Baron","2e+05"
"Reno","2e+05"
"Vulfzilla","2e+05"
"Kimar","2e+05"
"dasboot","2e+05"
"Slappydoodle","2e+05"
"Rotti","2e+05"
"SpartanGibbles","2e+05"
"Pyro182","2e+05"
"MMFLEX","2e+05"
"Mutedfaith","2e+05"
"Huck24","3e+05"
"mjlikp","3e+05"
"FaraDian","3e+05"
"Rangerjase","3e+05"
"TheGreatOne","3e+05"
"Jepox","4e+05"
"locrianmidwest","4e+05"
"Repgnar","4e+05"
"domffl","4e+05"
"Tdan04","4e+05"
"taterswc","4e+05"
"ihatereyson","4e+05"
"Chris","4e+05"
"ImShiny","4e+05"
"linsangeles","4e+05"
"jjlangabeer","4e+05"
"Thelastheraclid","4e+05"
"CementHands","4e+05"
"RomanesEuntDomus","4e+05"
"Lime","4e+05"
"ThatDamnWalrus","4e+05"
"Whitecap","4e+05"
"Zema","4e+05"
"Arcalegion","4e+05"
"Aleris","4e+05"
"ZootTX","4e+05"
"Australiankek","4e+05"
"Rtpc31","4e+05"
"JT3","4e+05"
"Boomerange","4e+05"
"negs77","4e+05"
"Poiklm","4e+05"
"Clapbomb_IV","4e+05"
"halanv3ntur3","4e+05"
"Ruggsy","4e+05"
"Spritestuff","4e+05"
"Katth","5e+05"
"Grum","5e+05"
"Missjmt","5e+05"
"caltroit_red_flames","5e+05"
"oknom","5e+05"
"soevil","5e+05"
"Boomcheck","6e+05"
"Carpy48","6e+05"
"skyrrhawk","6e+05"
"MattyIce","6e+05"
"yosh","6e+05"
"ZodiacEXE","6e+05"
"39alaska39","6e+05"
"natedoeshockey","6e+05"
"Jorec","6e+05"
"Steelflex","6e+05"
"Whikadoodle","6e+05"
"zeagle1","6e+05"
"phoenix","6e+05"
"WonderBread","6e+05"
"PapaSorin","6e+05"
"Scrufdaddy","6e+05"
"Aephino","6e+05"
"Anthique","6e+05"
"MattyJ","6e+05"
"Schocar","6e+05"
"Weaves","6e+05"
"NONAME","6e+05"
"JohnFranklinKennedy","6e+05"
"Bruins10","6e+05"
"RaidTheArcade","6e+05"
"Tesla","6e+05"
"CaptainCamel","6e+05"
"spidey","6e+05"
"CybershadeEDM","6e+05"
"JellyRamp","6e+05"
"LampLighter","6e+05"
"charlieconway","6e+05"
"fubaguy","6e+05"
"mee","6e+05"
"Gage2","6e+05"
"MuNk22","6e+05"
"KalixIzalumi","6e+05"
"Renomitsu","6e+05"
"Toivo","6e+05"
"Possum Queen","6e+05"
"Operation Ivy","6e+05"
"droop","6e+05"
"NaomiMannequeen","6e+05"
"sliceruser","6e+05"
"NorwegianDemon","6e+05"
"goldenglutes","6e+05"
"gaby","6e+05"
"ShadowFenix","6e+05"
"Wheels","6e+05"
"JaytheGreat","6e+05"
"Takk806","6e+05"
"Seb","6e+05"
"Security Shark","6e+05"
"hockeyfan","6e+05"
"Serpe x 13","6e+05"
"Omij","6e+05"
"MikeLiut","6e+05"
"puolivalmiste","6e+05"
"Ultimatedestroye","6e+05"
"DoubleDub","6e+05"
"mystick","6e+05"
"lemonoppy","6e+05"
"ThisSeemsFishy","6e+05"
"Dash","6e+05"
"LordBallGag","6e+05"
"Vandy","6e+05"
"Punk42AE","6e+05"
"No Goal","6e+05"
"micool132","6e+05"
"Figgy","6e+05"
"Inf1d3l","6e+05"
"Saucetonia","6e+05"
"Primeapple","6e+05"
"Wearingabear","6e+05"
"Chevy","6e+05"
"Soviet Sexpot","6e+05"
"Bfine","6e+05"
"CreHuf8","6e+05"
"ec06aaj","6e+05"
"st4rface","6e+05"
"NUCK","6e+05"
"Hungy Fella","6e+05"
"Massive Coiler","6e+05"
"Popol","6e+05"
"Thunfish","6e+05"
"Dextaria","6e+05"
"RashfordU","6e+05"
"efischermann","6e+05"
"tomtommen","6e+05"
"HillsHaveHats","6e+05"
"Nictox","6e+05"
"ThePyroAlpaca","6e+05"
"By-Tor","6e+05"
"Shiamus","6e+05"
"jbay7","6e+05"
"ItsBooth","6e+05"
"MrPresident","6e+05"
"kahri","6e+05"
"tredpalo","6e+05"
"the5urreal","6e+05"
"Grapehead","6e+05"
"FnoRespect","6e+05"
"TheOPSquid","6e+05"
"bobdigi9","6e+05"
"Bongo","6e+05"
"Juho","6e+05"
"CapnCooper","6e+05"
"JuOSu","6e+05"
"hhh81","6e+05"
"Salming","6e+05"
"Gaia Mormont","6e+05"
"C9Van","6e+05"
"fancey13","6e+05"
"jason kranz","6e+05"
"xjoverax","6e+05"
"CptSquall","6e+05"
"Rabidsponge21","6e+05"
"Revontulete","6e+05"
"amjohnson636","6e+05"
"JR95","6e+05"
"Urq660","6e+05"
"Troy_McClure03","6e+05"
"AuggieO","6e+05"
"oilmandan","6e+05"
"leafsftw1967","6e+05"
"Smirnov Light","6e+05"
"Tripl3tsGamer","6e+05"
"roastpuff","6e+05"
"Nike","6e+05"
"Vice","6e+05"
"JamesT","6e+05"
"NJBadApple","6e+05"
"Zerg","6e+05"
"prattk1987","6e+05"
"Tate","6e+05"
"Jexter","6e+05"
"slothfacekilla","6e+05"
"bbjygm","6e+05"
"swoosh","6e+05"
"Keven","6e+05"
"chetib","6e+05"
"BarnabasCollins","6e+05"
"steveoiscool","6e+05"
"Puppy","6e+05"
"retuperkele","6e+05"
"jacobcarson877","6e+05"
"soulja","6e+05"
"roquefort","6e+05"
"WildfireMicro","6e+05"
"leviadan","6e+05"
"ibuprofenaddict","6e+05"
"BANACKOCK","6e+05"
"Esso2264","6e+05"
"Muerto","6e+05"
"cake307","6e+05"
"OrbitingDeath","6e+05"
"dankoa","6e+05"
