"col1","col2"
"luke","1e+05"
"Sburbine","1e+05"
"Kaliyevl34l","1e+05"
"golden_apricot","1e+05"
"juniped","1e+05"
"ACapitalChicago","1e+05"
"boom","1e+05"
"NJBadApple","1e+05"
"mastersheep","1e+05"
"ElMerchanto","2e+05"
"5ympathies","2e+05"
"Aneeqs","2e+05"
"Punk42AE","2e+05"
"KaleSalad","2e+05"
"Thelastheraclid","2e+05"
"zeagle1","2e+05"
"hannahg32","2e+05"
"CementHands","2e+05"
"slothfacekilla","2e+05"
"LordBallGag","2e+05"
"erikvm","2e+05"
"leafsftw1967","2e+05"
"Wearingabear","2e+05"
"Figgy","2e+05"
"Froste39","2e+05"
"JuOSu","2e+05"
"Marcul_le_depanneur","2e+05"
"sköldpaddor","2e+05"
"dasboot","2e+05"
"DrunkenTeddy","2e+05"
"JaytheGreat","2e+05"
"Dindog","2e+05"
"gurbs","2e+05"
"the5urreal","2e+05"
"Takk806","3e+05"
"karey","3e+05"
"MrPrime","3e+05"
"Rangerjase","3e+05"
"Accka","3e+05"
"raymond3000","4e+05"
"dogwoodmaple","4e+05"
"EmoLeBron","4e+05"
"st4rface","4e+05"
"MikeLiut","4e+05"
"Wheels","4e+05"
"Mayuu","4e+05"
"C9Van","4e+05"
"WildfireMicro","4e+05"
"Nike","4e+05"
"kenvald","4e+05"
"Crazytomato","4e+05"
"takethehorizon","4e+05"
"hockeyfan","4e+05"
"Dainjah","4e+05"
"LordBirdman","4e+05"
"39alaska39","4e+05"
"retuperkele","4e+05"
".bojo","4e+05"
"linsangeles","4e+05"
"Hungy Fella","4e+05"
"thiefofcheese","4e+05"
"chetib","4e+05"
"WannabeFinn","5e+05"
"Carpy48","5e+05"
"RainDelay","5e+05"
"Southie","5e+05"
"PapaSorin","6e+05"
"FaraDian","6e+05"
"JT3","6e+05"
"LeSizz","6e+05"
"charlieconway","6e+05"
"Weaves","6e+05"
"DigDoug11","6e+05"
"tomtommen","6e+05"
"spidey","6e+05"
"FuriousChicken","6e+05"
"MyLittleHexx","6e+05"
"Tylar","6e+05"
"BANACKOCK","6e+05"
"downer","6e+05"
"soevil","6e+05"
"Tesla","6e+05"
"puolivalmiste","6e+05"
"natedoeshockey","6e+05"
"Reedy0rNot","6e+05"
"kahri","6e+05"
"Lime","6e+05"
"Cycro","6e+05"
"Australiankek","6e+05"
"Thunfish","6e+05"
"electrictree","6e+05"
"BarnabasCollins","6e+05"
"Nictox","6e+05"
"mystick","6e+05"
"jbay7","6e+05"
"MMFLEX","6e+05"
"leviadan","6e+05"
"Eggcracker","6e+05"
"Chevy","6e+05"
"SledgehammerPete","6e+05"
"SewingWithNancy","6e+05"
"CapnCooper","6e+05"
"NorwegianDemon","6e+05"
"Crash_Conrad","6e+05"
"CptSquall","6e+05"
"Toivo","6e+05"
"liebolda","6e+05"
"AK41","6e+05"
"domffl","6e+05"
"hhh81","6e+05"
"Ashes","6e+05"
"Salming","6e+05"
"Andy","6e+05"
"Aephino","6e+05"
"steveoiscool","6e+05"
"Anthique","6e+05"
"bbjygm","6e+05"
"Operation Ivy","6e+05"
"DarkCanuck29","6e+05"
"JamesT","6e+05"
"mee","6e+05"
"Keven","6e+05"
"Spartan","6e+05"
"wizard_literal","6e+05"
