"username","amount"
"hotdog","1e+05"
"boom","1e+05"
"Count Chocula","1e+05"
"Andy","1e+05"
"AL GRINGO","1e+05"
"kahri","1e+05"
"ThePyroAlpaca","1e+05"
"Frenchie","1e+05"
"JURT","1e+05"
"Leppish","1e+05"
"Mr35","1e+05"
"MrPrime","1e+05"
"Australiankek","2e+05"
"Ara","2e+05"
"Whitecap","2e+05"
"LampLighter","2e+05"
"Punk42AE","2e+05"
"Daleks","2e+05"
"Froste39","2e+05"
"NorwegianDemon","2e+05"
"jerometuna","2e+05"
"Jonnyhockey17","2e+05"
"PixelNick13","2e+05"
"o1playz","2e+05"
"Joriel","2e+05"
"AuggieO","2e+05"
"unconfident69","2e+05"
"Spyal","2e+05"
"OblivionWalker","2e+05"
"Jorec","2e+05"
"Summerstood","2e+05"
"Dextaria","2e+05"
"Alaska","2e+05"
"LordBallGag","2e+05"
"CptSquall","2e+05"
"RLG91","2e+05"
"lunaripcole","2e+05"
"Louchyz","2e+05"
"Revontulete","2e+05"
"Vulfzilla","2e+05"
"NUCK","2e+05"
"SledgehammerPete","2e+05"
"TheLokiWild","2e+05"
"Valpix","2e+05"
"MMFLEX","2e+05"
"Zag","2e+05"
"JBeckQuest","2e+05"
"Prayl07","2e+05"
"Arkz","2e+05"
"AJW","2e+05"
"dankoa","2e+05"
"CaptainCamel","2e+05"
"sköldpaddor","2e+05"
"st4rface","2e+05"
"WannabeFinn","3e+05"
"RAmenAmen","3e+05"
"Renomitsu","3e+05"
"Rich","3e+05"
"JohnFranklinKennedy","3e+05"
"sswiss","4e+05"
"Rancidbudgie","4e+05"
"kb.m","4e+05"
"Papajon","4e+05"
"xenosthelegend","4e+05"
"Vumion","4e+05"
"Cycro","4e+05"
"Conraddvd","4e+05"
"thatguy131","4e+05"
"SirInfernos","4e+05"
"zeagle1","4e+05"
"scamps","4e+05"
"Bongo","4e+05"
"tomtommen","4e+05"
"Zerg","4e+05"
"bluesfan55","4e+05"
"Schocar","4e+05"
"sixhausen","4e+05"
"EricNCSU","4e+05"
"Lime","4e+05"
"Habsfan_nick","4e+05"
"Smirnov Light","4e+05"
"SilverBlitzenAG","4e+05"
"jcole","4e+05"
"Vastbluepuppy424","4e+05"
"Rtpc31","4e+05"
"Bubba Tree","4e+05"
"Aleris","4e+05"
"amjohnson636","4e+05"
"vbottas17","4e+05"
"DETisHockeytown","4e+05"
"ephenssta","4e+05"
"FaraDian","4e+05"
"ibuprofenaddict","4e+05"
"Dangles13","4e+05"
"scudmuffin19","4e+05"
"homercrates","5e+05"
"Huck24","5e+05"
"Pelochyta","5e+05"
"Bfine","5e+05"
"Katth","6e+05"
"jaypc8237","6e+05"
"anuragb","6e+05"
"MattyIce","6e+05"
"Mongoose87","6e+05"
