"username","amount"
"Count Chocula","1e+05"
"boom","1e+05"
"Nike","1e+05"
"Vulfzilla","1e+05"
"WannabeFinn","1e+05"
"Baron1898","2e+05"
"Jepox","2e+05"
"sswiss","2e+05"
"Shiamus","2e+05"
"Valpix","2e+05"
"Mikemart","2e+05"
"Raven","2e+05"
"TheLokiWild","2e+05"
"sköldpaddor","2e+05"
"kahri","2e+05"
"ilgatto","2e+05"
"Pulling-Teeth","2e+05"
"kb.m","2e+05"
"AuggieO","2e+05"
"TonyW19","2e+05"
"SG_Vesuvius","2e+05"
"OblivionWalker","2e+05"
"Le Thrill","2e+05"
"Andy","2e+05"
"mer","2e+05"
"Zag","2e+05"
"Evok","2e+05"
"EricNCSU","2e+05"
"dankoa","2e+05"
"vbottas17","2e+05"
"lunaripcole","2e+05"
"MattyJ","2e+05"
"Sopath","2e+05"
"Log Wolverine Hunts","2e+05"
"Standardan","2e+05"
"MWildcat7","2e+05"
"Puppy","2e+05"
"Gavin the Blue jay","2e+05"
"Tmoney6996","2e+05"
"Ashes","2e+05"
"Revontulete","3e+05"
"Bearen","3e+05"
"Pelochyta","3e+05"
"AdamEPlays","3e+05"
"Katth","4e+05"
"thatguy131","4e+05"
"Dame","4e+05"
"Chris","4e+05"
"xenosthelegend","4e+05"
"skyrrhawk","4e+05"
"G2019","4e+05"
"NorwegianDemon","4e+05"
"CheeseConeys","4e+05"
"anuragb","4e+05"
"Rtpc31","4e+05"
"RainDelay","4e+05"
"Scrufdaddy","4e+05"
"ImShiny","4e+05"
"Rancidbudgie","4e+05"
"Toivo","4e+05"
"ByrdeMan","4e+05"
"Dextaria","4e+05"
"iamslm22","4e+05"
"HanTheMan_","4e+05"
"MMFLEX","4e+05"
"roastpuff","4e+05"
"Anthique","4e+05"
"sofiem964","4e+05"
"hockeymil","4e+05"
"TomServo","4e+05"
"MrPresident","4e+05"
"ibuprofenaddict","4e+05"
"Evil_AllBran","4e+05"
"ForSucksFake","4e+05"
"amjohnson636","4e+05"
"Michiganonymous","4e+05"
"lemonoppy","4e+05"
"BigHops","4e+05"
"ephenssta","4e+05"
"JR95","4e+05"
"Mongoose87","5e+05"
"sixhausen","5e+05"
"McAl95","5e+05"
"jcole","5e+05"
"Toaster","5e+05"
"jaypc8237","5e+05"
"Bfine","5e+05"
"Urq660","5e+05"
"BXM","6e+05"
"Pandar","6e+05"
"cbx","6e+05"
"MattyIce","6e+05"
"DETisHockeytown","6e+05"
"Brenadyr","6e+05"
"Huck24","6e+05"
"sobrien6187","6e+05"
"Operation Ivy","6e+05"
"TubaDeus","6e+05"
"OVOXO","6e+05"
"CybershadeEDM","6e+05"
"zeagle1","6e+05"
"Nictox","6e+05"
"spidey","6e+05"
"plummdogmillionaire","6e+05"
"Gaia Mormont","6e+05"
"RAmenAmen","6e+05"
"wumaduce","6e+05"
"AriaEXE","6e+05"
"Ara","6e+05"
"anders","6e+05"
"Dziadek93","6e+05"
"PixelNick13","6e+05"
"mcpumpkin","6e+05"
"Vumion","6e+05"
"Bluedog25123","6e+05"
"Figgy","6e+05"
"Durodo","6e+05"
"Thunfish","6e+05"
"micool132","6e+05"
"Magenta","6e+05"
"Tesla","6e+05"
"GrilledTwinkiez","6e+05"
"tomtommen","6e+05"
"Ivornen","6e+05"
"Juho","6e+05"
"KalixIzalumi","6e+05"
"Clint Eastwood","6e+05"
"JBeckQuest","6e+05"
"puolivalmiste","6e+05"
"Daleks","6e+05"
"retuperkele","6e+05"
"FourFour","6e+05"
"Dash","6e+05"
"Vandy","6e+05"
"Zerg","6e+05"
"Brandon","6e+05"
"SledgehammerPete","6e+05"
"Jorec","6e+05"
"Arkz","6e+05"
"mattebleu","6e+05"
"CharethCutestory78","6e+05"
"TipToasty","6e+05"
"Popol","6e+05"
"Weaves","6e+05"
"Vrain","6e+05"
"bobdigi9","6e+05"
"Carpy48","6e+05"
"Deli","6e+05"
"NoFace","6e+05"
"leafsftw1967","6e+05"
"fubaguy","6e+05"
"LtBlackGrizzly","6e+05"
"Dman2213","6e+05"
"TheWoZy","6e+05"
"DApolloS","6e+05"
"Alice","6e+05"
"Degradation","6e+05"
"Obsolete","6e+05"
"soulja","6e+05"
"Aephino","6e+05"
"Beavie","6e+05"
"captainsb","6e+05"
"FaraDian","6e+05"
"NessleKrunk","6e+05"
"MuNk22","6e+05"
"GreekGod","6e+05"
"Tripl3tsGamer","6e+05"
"efischermann","6e+05"
"jacobcarson877","6e+05"
"Moreorless89","6e+05"
"Muerto","6e+05"
"Louchyz","6e+05"
"prattk1987","6e+05"
"Confusion","6e+05"
"FingolfinandRingil","6e+05"
"YetiTaz","6e+05"
"Dangles13","6e+05"
"Nol15736","6e+05"
"Ronniewalker","6e+05"
"RoyRivers","6e+05"
"Marshi","6e+05"
"Keven","6e+05"
"Massive Coiler","6e+05"
"birb","6e+05"
"jason97","6e+05"
"visceralpotamus","6e+05"
"HoodRatRoyalty","6e+05"
"bbjygm","6e+05"
"notoriousTRON","6e+05"
"Mtstreaks04","6e+05"
"GabeyD","6e+05"
