"username","amount"
"NYRangers","1e+05"
"JimdulifAA","1e+05"
"brolafleur9","1e+05"
"MrPrime","1e+05"
"WannabeFinn","1e+05"
"skyrrhawk","2e+05"
"Baron1898","2e+05"
"AW13","2e+05"
"kb.m","2e+05"
"Shiamus","2e+05"
"Gordon Bombay","2e+05"
"mer","2e+05"
"MamaB","2e+05"
"sköldpaddor","2e+05"
"PixelNick13","2e+05"
"FuriousChicken","2e+05"
"DETisHockeytown","2e+05"
"Cuffy","2e+05"
"Moreorless89","2e+05"
"AriaEXE","2e+05"
"jcole","2e+05"
"Jearim","2e+05"
"CheeseConeys","2e+05"
"Zag","2e+05"
"Cobbenstein","2e+05"
"Kyamprac","2e+05"
"Alice","2e+05"
"Andy","2e+05"
"Duff101","2e+05"
"Louchyz","2e+05"
"K97","2e+05"
"Vulfzilla","2e+05"
"Inf1d3l","2e+05"
"Rtpc31","2e+05"
"FlämeHusky666","2e+05"
"Hacob","2e+05"
"FnoRespect","2e+05"
"lunaripcole","2e+05"
"Jonnyhockey17","2e+05"
"GabeyD","2e+05"
"Huck24","3e+05"
"anuragb","3e+05"
"Ast_12","3e+05"
"BANACKOCK","3e+05"
"Katth","4e+05"
"Dextaria","4e+05"
"Puppy","4e+05"
"Toaster","4e+05"
"Toivo","4e+05"
"Morethanjustaguy","4e+05"
"zeagle1","4e+05"
"LampLighter","4e+05"
"Anthique","4e+05"
"Kingtifour","4e+05"
"KalixIzalumi","4e+05"
"charlieconway","4e+05"
"Zinny","4e+05"
"Otrebor13","4e+05"
"Hordle","4e+05"
"thatguy131","4e+05"
"TipToasty","4e+05"
"DApolloS","4e+05"
"SilverBlitzenAG","4e+05"
"kdr","4e+05"
"Cycro","4e+05"
"MrRuihu","4e+05"
"Nictox","4e+05"
"RLG91","4e+05"
"ibuprofenaddict","4e+05"
"MuNk22","4e+05"
"McGriddy10","4e+05"
"roastpuff","4e+05"
"Tmoney6996","4e+05"
"Habsfan_nick","4e+05"
"dankoa","4e+05"
"Aneeqs","4e+05"
"Michiganonymous","4e+05"
"ImShiny","4e+05"
"HanTheMan_","4e+05"
"Murtsi","4e+05"
"TheWoZy","5e+05"
"Tesla","5e+05"
"jaypc8237","5e+05"
"Snussu","5e+05"
"ShadowFenix","6e+05"
"Scrufdaddy","6e+05"
"Jorec","6e+05"
"Tripl3tsGamer","6e+05"
"visceralpotamus","6e+05"
"micool132","6e+05"
"Magenta","6e+05"
"CybershadeEDM","6e+05"
"xenosthelegend","6e+05"
"Dash","6e+05"
"TubaDeus","6e+05"
"OVOXO","6e+05"
"Mongoose87","6e+05"
"oknom","6e+05"
"mcpumpkin","6e+05"
"TheLokiWild","6e+05"
"Thunfish","6e+05"
"Bongo","6e+05"
"Weaves","6e+05"
"Chris","6e+05"
"dude_man","6e+05"
"Brenadyr","6e+05"
"Toast","6e+05"
"soulja","6e+05"
"MyLittleHexx","6e+05"
"Arkz","6e+05"
"swoosh","6e+05"
"Deli","6e+05"
"ForSucksFake","6e+05"
"golden_apricot","6e+05"
"Pifferfish","6e+05"
"BoxOfRox","6e+05"
"EricNCSU","6e+05"
"Ivornen","6e+05"
"roquefort","6e+05"
"vbottas17","6e+05"
"leafsftw1967","6e+05"
"Rancidbudgie","6e+05"
"Clint Eastwood","6e+05"
"Gaia Mormont","6e+05"
"Pandar","6e+05"
"Daleks","6e+05"
"puolivalmiste","6e+05"
"Confusion","6e+05"
"bobdigi9","6e+05"
"Durodo","6e+05"
"Ashes","6e+05"
"Sajkashi","6e+05"
"tredpalo","6e+05"
"Aephino","6e+05"
"Muerto","6e+05"
"Palace_Posy524","6e+05"
"sixhausen","6e+05"
"tomtommen","6e+05"
"anywheresoundsnice","6e+05"
"Renomitsu","6e+05"
"Juho","6e+05"
"Log Wolverine Hunts","6e+05"
"Dangles13","6e+05"
