"userName","getProfile.handle","payment"
"Dewalt27","goldenfaceshl",0
"yonggarius","yonggarius",0
"ShnarlyDude","alimonytonyshl",0
"AnnaH","anna_pontecorvo",0
"HoltzFan10","mercerfan18",6e+05
"visceralpotamus","visceralpotamus",0
"grimreaper","robertb96296949",0
"Bfine","slavakovv",0
"Memento Mori","jsinkshl",0
"eMLBCommish","fkncommishlb",0
"podzilla111","iihf_shl",0
"fishy","aronhernadivic",0
"Fantobens","fantobens",150000
"lmao","shioka_zerkers",4e+05
"Julio Tokolosh","jtokolosh",0
"Exilate","aleksblixtstrom",0
"TheBigSandeenie","bigsandeenie",0
"GrannyPanPan","panpangranny",0
"Muford","barracuda_bay",0
"ValorX77","videlsan15",6e+05
"qWest","jacknishimori",0
"wumaduce","wumaduce",0
"BoloBill","vvejonis",0
"Keygan","edmblizzardshl",0
"taterswc","thetater13",0
"Sivart","regsivart",0
"santej29","sabarrot",0
"BenDover","bendove72921170",0
"By-Tor","marcelb31213061",0
"eagle_brand","jnutcluster",0
"Highhaschdi","shighhaschdi",0
"katarn22","al_yankovic_shl",0
"tMuse","angler_jj",0
"DannyC","iihf_shl",0
"ddrector","kobowhalers",0
"HabsFan6776","habsfan6776",0
"SouthPaw","dwalrus",0
"FiveForFighting","shluhtred",0
"negs77","bjornbjornshl",0
"Dagumpa","dagandhissims",0
"hockey","iihf_shl",0
"goilers","iihf_shl",0
"Boomcheck","colecarterc",0
"Benpachi","strongbelly",550000
"Evil_AllBran","evilallbran",6e+05
"Alyxander","sammyelbows",0
"JumpierPegasus","iihf_shl",0
"DELIRIVM","naniild",0
"hewasajazzman","dkastrbashl",0
".bojo","iihf_shl",0
"Pingy Pingu","pingu_pingy",0
"cakequest","joshjennings71",0
"jjlangabeer","redwings3971",0
"Lorec","levlebedev4",150000
"pokedragon","jeffmaccabe",0
"Seymour","beanmanofficial",450000
"Hazack","hazack_shl",0
"Rev","leakingrichard",0
"Inf1d3l","desquedin",0
"TheFlash","theflashshl",0
"Talls","iihf_shl",0
"Mediocre_Fred","bread_wanesly",0
"BigTittySmitty","bigtittysmitty",0
"Flowseidon","brogenburies",350000
"t3zla","iihf_shl",0
"Vikian","zhenroza",0
"Sebster","williem_21",0
"WithTheMoose","pengude",0
"TheCC","_pppetrov",0
"SchwarzNarr","moosemajestik",0
"ConnorM123","douggla09049240",0
"Sly","slysyndicated",0
"dylanjj37","samuelpiccard",0
"RenoJacksonHS","evgenipetrov97",0
"NONAME","bokane02",0
"Accka","olavs13",0
"academydropout","mp10df",0
"SMD414","shlragnar",0
"LucidDreams702","lucidshl",0
"platanocat","platanocat",0
"Steelhead77","parm_king",0
"Hordle","tylerwardo",0
"canuckles","canuckles2",0
"Philip3242","iihf_shl",0
"monochroma","leonsbriedis",0
"Ace","farquaads_shl",0
"petralikesbaseball","petrasabor",0
"Tanner","woatgoalie",0
"rory","simrory",150000
"TubbyTim69","maxwellking28",0
"AnthonyOuellet","anthony13980359",0
"Sly92","remaorusty",0
"Big Newff","iihf_shl",0
"natedoeshockey","patyaperevalov",6e+05
"the5urreal","iihf_shl",0
"Junior","jr_shl",0
"DarkCanuck29","dmackrw",6e+05
"Lobbanet","lobbanet",0
"kentakira","ykcloudera",0
"efischermann","sefischermann",6e+05
"jerometuna","phaedrusag",0
"Slav1cThor","kovacsovaluka",0
"element","iihf_shl",0
"Drokeep","graf47colphi",0
"dirigiblejones","ellislee_shl",0
"lmcm86","pigshockey",0
"Pickle Juice","picklej57417637",6e+05
"H0PPY75","jeffhopkins75",0
"Emeril","hockey_emeril",0
"Opera_Phantom","jaycueofficial",6e+05
"Jimmysmo27","jimmysm027",0
"Deng","jannevi79374145",0
"LSUFAN101","burrow9shl",0
"dude_man","edacsmailliw",0
"jay2233","maxmanningshl",0
"Southie","oskar_walther",0
"jeffie43","thereallavert",0
"Zombiewolf","jaskaseppala",0
"MichaelLum30","barrybenson_pbe",0
"Zman","kanyesouthshl",0
"greencityny","scottthorn14",0
"overdoo","iihf_shl",0
"Aleris","trashmansnooks",0
"conet_","iihf_shl",0
"Michiganonymous","michiganonymous",350000
"Urq660","shlurq",0
"Darkheart","darkhea09192577",0
"Toxlc","iihf_shl",0
"Crunk","viktorkrunk",550000
"Redderder15","jefflarssonshl",0
"RashfordU","mikko_rashford",6e+05
"High Stick King","highstickking",6e+05
"VillageBC","ignazpleyel77",0
"duffleman2002","duff878381591",0
"Whitecap","whitecap_shl",2e+05
"CapnCooper","dirtybootsld",6e+05
"Selsby","therealvancouv1",0
"Sburbine","jayoneilshl",6e+05
"mer","fiskeshl",0
"unconfident69","travisscottt9",0
"Beaver","jacktannershl",0
"Vaxlare","zaynedangle",6e+05
"shan3p","theoberglundshl",0
"brickwall35","brickwallshl",550000
"tommytightpants","iihf_shl",0
"Gordon Bombay","shl_shoyohinata",0
"CptGoosar","stephangillshl",0
"Evok","qccitadellesshl",0
"Coswi","popecoswishl",0
"G2019","smchits",0
"NamelessNate","velkymuzshl",0
"Risky_Potato","risque_potato",0
"Dukemarriot","dukeshl40",0
"Vulfzilla","cupnoodle4d",0
"mcpumpkin","lenny_hawk",6e+05
