"username","amount"
"dogwoodmaple","1e+05"
"Ruggsy","1e+05"
"Frenchie","1e+05"
"StadiumGambler","1e+05"
"AuggieO","1e+05"
"Mongoose87","1e+05"
"Chevy","1e+05"
"Omij","1e+05"
"sve7en","1e+05"
"spidey","1e+05"
"Jayba1t","1e+05"
"Huck24","1e+05"
"NorwegianDemon","1e+05"
"HabsFanFromOntario","1e+05"
"Anthique","2e+05"
"hockeymil","2e+05"
"jjlangabeer","2e+05"
"hockeyboy1","2e+05"
"ImShiny","2e+05"
"tredpalo","2e+05"
"Troy_McClure03","2e+05"
"Grapehead","2e+05"
"RashfordU","2e+05"
"Aephino","2e+05"
"golden_apricot","2e+05"
"ItsBooth","2e+05"
"zeagle1","2e+05"
"Jorec","2e+05"
"Rtpc31","2e+05"
"JaytheGreat","2e+05"
"jakkysosa","2e+05"
"Baron","2e+05"
"Serpe x 13","2e+05"
"wizard_literal","2e+05"
"Fitted2106","2e+05"
"Zerg","2e+05"
"WonderBread","2e+05"
"Grum","2e+05"
"Halkohol","2e+05"
"jacobcarson877","2e+05"
"Takk806","2e+05"
"Missjmt","2e+05"
"Weaves","2e+05"
"Vandy","2e+05"
"ZootTX","2e+05"
"Massive Coiler","2e+05"
"Lumosityfan","2e+05"
"Lime","2e+05"
"CaptainCamel","2e+05"
"hockeyfan","2e+05"
"Bfine","2e+05"
"Froste39","2e+05"
"EngynGameOver","2e+05"
"Aleris","2e+05"
"Rabidsponge21","2e+05"
"soevil","2e+05"
"sliceruser","2e+05"
"KalixIzalumi","2e+05"
"Salming","2e+05"
"TheGreatOne","2e+05"
"CybershadeEDM","2e+05"
"MattyIce","2e+05"
"JohnFranklinKennedy","2e+05"
"steveoiscool","2e+05"
"MuNk22","2e+05"
"HillsHaveHats","2e+05"
"Brenadyr","2e+05"
"Puppy","2e+05"
"retuperkele","2e+05"
"prattk1987","2e+05"
"Accka","2e+05"
"Possum Queen","2e+05"
"Tate","2e+05"
"Figgy","2e+05"
"bobdigi9","2e+05"
"By-Tor","2e+05"
"hhh81","2e+05"
"domffl","2e+05"
"Esso2264","2e+05"
"NordicNailer","2e+05"
"Dextaria","2e+05"
"Slappydoodle","2e+05"
"xjoverax","2e+05"
"micool132","2e+05"
"PapaSorin","2e+05"
"Juho","2e+05"
"EmoLeBron","2e+05"
"Tripl3tsGamer","2e+05"
"Muford","2e+05"
"fancey13","2e+05"
"ViN","2e+05"
"Chris-McZehrl","2e+05"
"MrPrime","2e+05"
"IcyGas52","2e+05"
"Revontulete","3e+05"
"Belmont","3e+05"
"Whitecap","3e+05"
"Dash","3e+05"
"Tesla","3e+05"
"Gaia Mormont","3e+05"
"BANACKOCK","3e+05"
"charlieconway","3e+05"
"jbay7","3e+05"
"Magenta","3e+05"
"39alaska39","3e+05"
"Scrufdaddy","4e+05"
"roastpuff","4e+05"
"ZodiacEXE","4e+05"
"phoenix","4e+05"
"Z-Whiz","4e+05"
"NaomiMannequeen","4e+05"
"locrianmidwest","4e+05"
"ihatereyson","4e+05"
"Ultimatedestroye","4e+05"
"kahri","4e+05"
"Bongo","4e+05"
"natedoeshockey","4e+05"
"NONAME","4e+05"
"skyrrhawk","4e+05"
"OVOXO","4e+05"
"Ohtaay","4e+05"
"FaraDian","4e+05"
"Bamford13","4e+05"
"Wheels","4e+05"
"Operation Ivy","4e+05"
"JohnnyPatey","4e+05"
"Steelflex","4e+05"
"Punk42AE","4e+05"
"ThePyroAlpaca","4e+05"
"ec06aaj","4e+05"
"Sburbine","4e+05"
"sköldpaddor","4e+05"
"Chris","4e+05"
"Nike","4e+05"
"st4rface","4e+05"
"MattyJ","4e+05"
"FuriousChicken","4e+05"
"CementHands","4e+05"
"Thunfish","4e+05"
"Shiamus","4e+05"
"Carpy48","4e+05"
"CptSquall","4e+05"
"Katth","4e+05"
"JellyRamp","4e+05"
"vandrewski","4e+05"
"No Goal","4e+05"
"Toivo","4e+05"
"tomtommen","4e+05"
"NJBadApple","4e+05"
"Allegiant","4e+05"
"mystick","4e+05"
"puolivalmiste","4e+05"
"Wearingabear","4e+05"
"cake307","4e+05"
"Stamkos Is My Dad","4e+05"
"Vice","4e+05"
"Gyro_Hero","4e+05"
"Muerto","4e+05"
"Slime","4e+05"
"JR95","5e+05"
"YetiTaz","5e+05"
"kdr","5e+05"
"LampLighter","6e+05"
"gaby","6e+05"
"roquefort","6e+05"
"RaidTheArcade","6e+05"
"Renomitsu","6e+05"
"jason97","6e+05"
"jason kranz","6e+05"
"lmao","6e+05"
