"username","amount"
"Count Chocula","1e+05"
"dogwoodmaple","1e+05"
"Kikou","1e+05"
"ShineSport1","1e+05"
"JohnFranklinKennedy","1e+05"
"sköldpaddor","1e+05"
"C9Van","1e+05"
"TheOPSquid","1e+05"
"WannabeFinn","1e+05"
"CaptainCrazy","2e+05"
"Dextaria","2e+05"
"Gordon Bombay","2e+05"
"pboomg","2e+05"
"RashfordU","2e+05"
"FnoRespect","2e+05"
"Alaska","2e+05"
"Duff101","2e+05"
"MattyIce","2e+05"
"mer","2e+05"
"Morethanjustaguy","2e+05"
"AuggieO","2e+05"
"Degradation","2e+05"
"AW13","2e+05"
"LampLighter","2e+05"
"Confusion","2e+05"
"Valpix","2e+05"
"anuragb","2e+05"
"Sevrin","2e+05"
"Habsfan_nick","2e+05"
"thatguy131","2e+05"
"dankoa","2e+05"
"Rokkat","2e+05"
"OblivionWalker","2e+05"
"CptSquall","2e+05"
"MMFLEX","2e+05"
"Otrebor13","2e+05"
"OVOXO","2e+05"
"sarmo","2e+05"
"Summerstood","2e+05"
"EricNCSU","2e+05"
"ibuprofenaddict","2e+05"
"Ast_12","2e+05"
"Whitecap","3e+05"
"Ara","3e+05"
"Ohtaay","3e+05"
"Shiamus","4e+05"
"Katth","4e+05"
"ANARossJohnstonFan44","4e+05"
"vbottas17","4e+05"
"Mongoose87","4e+05"
"homercrates","4e+05"
"Magenta","4e+05"
"Cuffy","4e+05"
"sadie","4e+05"
"Anthique","4e+05"
"Leatherneckmike","4e+05"
"jaypc8237","4e+05"
"TipToasty","4e+05"
"ilgatto","4e+05"
"Urq660","4e+05"
"Clint Eastwood","4e+05"
"skyrrhawk","4e+05"
"Jorec","4e+05"
"Caspwad","4e+05"
"NYRangers","4e+05"
"Kaleb2897","4e+05"
"Rancidbudgie","4e+05"
"VerdantSky","4e+05"
"Pelochyta","4e+05"
"roastpuff","4e+05"
"olof vander","4e+05"
"lemonoppy","4e+05"
"ForSucksFake","4e+05"
"admiralballtr8s","4e+05"
"sliceruser","4e+05"
"Bamford13","4e+05"
"Rtpc31","4e+05"
"Pandar","5e+05"
"Bluedog25123","5e+05"
"ludovinci","5e+05"
"Durodo","6e+05"
"Conraddvd","6e+05"
"Arkz","6e+05"
"tredpalo","6e+05"
"KalixIzalumi","6e+05"
"xenosthelegend","6e+05"
"Operation Ivy","6e+05"
"sixhausen","6e+05"
"golden_apricot","6e+05"
"Papajon","6e+05"
"micool132","6e+05"
"hockeymil","6e+05"
"Nike","6e+05"
"NJBadApple","6e+05"
"Huck24","6e+05"
"diacope","6e+05"
"Daleks","6e+05"
"Nol15736","6e+05"
"Deli","6e+05"
"Brenadyr","6e+05"
"kb.m","6e+05"
"Ashes","6e+05"
".Laser","6e+05"
"Sajkashi","6e+05"
"Thunfish","6e+05"
"Ivornen","6e+05"
"Snussu","6e+05"
"RainDelay","6e+05"
"MyLittleHexx","6e+05"
"plummdogmillionaire","6e+05"
"Dash","6e+05"
"Chris","6e+05"
"corbz","6e+05"
"roquefort","6e+05"
"Scrufdaddy","6e+05"
"Gifter of Bikes","6e+05"
"Toivo","6e+05"
"Palace_Posy524","6e+05"
"spidey","6e+05"
"Tesla","6e+05"
"LeakyCink","6e+05"
"zeagle1","6e+05"
"retuperkele","6e+05"
"Salming","6e+05"
"Aephino","6e+05"
"Gaia Mormont","6e+05"
"puolivalmiste","6e+05"
"DApolloS","6e+05"
"Marshi","6e+05"
"Dziadek93","6e+05"
"mcpumpkin","6e+05"
"Muerto","6e+05"
"SilverBlitzenAG","6e+05"
"TubaDeus","6e+05"
"leafsftw1967","6e+05"
"CybershadeEDM","6e+05"
"NessleKrunk","6e+05"
