"username","amount"
"Benpachi","1e+05"
"Ohtaay","1e+05"
"jaypc8237","1e+05"
"FaraDian","1e+05"
"Count Chocula","1e+05"
"JejuDaejiGogi","1e+05"
"WannabeFinn","1e+05"
"Scrufdaddy","2e+05"
"ihatereyson","2e+05"
"Jumbobone19","2e+05"
"Repgnar","2e+05"
"Dynamicmlb_42","2e+05"
"natedoeshockey","2e+05"
"JNH","2e+05"
"SewingWithNancy","2e+05"
"zeagle1","2e+05"
"sköldpaddor","2e+05"
"CrazyMojito","2e+05"
"Fluberwusterdinge","2e+05"
"AW13","2e+05"
"Lumosityfan","2e+05"
"JustHereToLeave","2e+05"
"Baron","2e+05"
"Shiamus","2e+05"
"Mysterious_Fish","2e+05"
"Andy","2e+05"
"Accka","2e+05"
"Canadian_Goose25","2e+05"
"Milexnc","2e+05"
"mikebobcat","2e+05"
"DylTheThrill","2e+05"
"Pyro182","2e+05"
"RainDelay","2e+05"
"Australiankek","2e+05"
"Steelflex","2e+05"
"Jepox","2e+05"
"rtguys","2e+05"
"Hordle","2e+05"
"EricNCSU","2e+05"
"Figgy","2e+05"
"bjkman","2e+05"
"mystick","2e+05"
"Agito","2e+05"
"JohnnyPatey","2e+05"
"Cuffy","2e+05"
"goldenglutes","2e+05"
"Aurora","2e+05"
"scudmuffin19","2e+05"
"Beavie","3e+05"
"yosh","3e+05"
"Valpix","3e+05"
"Triscuttt3","3e+05"
"Jimbo1990","3e+05"
"EmoLeBron","3e+05"
"ZodiacEXE","3e+05"
"aj.buggs","3e+05"
"jjlangabeer","4e+05"
"dogwoodmaple","4e+05"
"redwings26135","4e+05"
"Z-Whiz","4e+05"
"hockeymil","4e+05"
"AuggieO","4e+05"
"Hungy Fella","4e+05"
"Jorec","4e+05"
"MrPresident","4e+05"
"39alaska39","4e+05"
"Sburbine","4e+05"
"Serpe x 13","4e+05"
"golden_apricot","4e+05"
"MightyMulder","4e+05"
"FuriousChicken","4e+05"
"MrPrime","4e+05"
"JaytheGreat","4e+05"
"TonyW19","4e+05"
"Bruins10","4e+05"
"G2019","4e+05"
"Deng","4e+05"
"Dextaria","4e+05"
"Froste39","4e+05"
"Otis Boudreaux","4e+05"
"Z0REM","4e+05"
"CaptainCamel","4e+05"
"MattyIce","4e+05"
"Kalakar","4e+05"
"Lemorse7","4e+05"
"Vaxlare","4e+05"
"Popol","4e+05"
"Unjusttelevision","4e+05"
"Omij","4e+05"
"Kimar","4e+05"
"KalixIzalumi","4e+05"
"kahri","5e+05"
"Tesla","5e+05"
"Huck24","5e+05"
"thatguy131","5e+05"
"RAmenAmen","5e+05"
"McScootie","5e+05"
"Juho","5e+05"
"Lem","5e+05"
"Katth","6e+05"
"Schocar","6e+05"
"ocho","6e+05"
"DarthDaevin","6e+05"
"Papajon","6e+05"
"CybershadeEDM","6e+05"
"OVOXO","6e+05"
"phoenix","6e+05"
"Magenta","6e+05"
"Weaves","6e+05"
"Muford","6e+05"
"Jason","6e+05"
"Punk42AE","6e+05"
"Lime","6e+05"
"soulja","6e+05"
"gaby","6e+05"
"Bongo","6e+05"
"Brenadyr","6e+05"
"MattyJ","6e+05"
"CementHands","6e+05"
"Rtpc31","6e+05"
"LampLighter","6e+05"
"steveoiscool","6e+05"
"Security Shark","6e+05"
"micool132","6e+05"
"roquefort","6e+05"
"Shylo_Moxii","6e+05"
"Southie","6e+05"
"trella","6e+05"
"Chris","6e+05"
"fancey13","6e+05"
"Operation Ivy","6e+05"
"ByrdeMan","6e+05"
"Gaia Mormont","6e+05"
"Carpy48","6e+05"
"Ara","6e+05"
"Thelastheraclid","6e+05"
"charlieconway","6e+05"
"HillsHaveHats","6e+05"
"Toivo","6e+05"
"noxu","6e+05"
"Renomitsu","6e+05"
"NordicNailer","6e+05"
"FingolfinandRingil","6e+05"
"LeakyCink","6e+05"
"Takk806","6e+05"
"skyrrhawk","6e+05"
"Wheels","6e+05"
"hockeyfan","6e+05"
"ztevans","6e+05"
"Muerto","6e+05"
"jacobcarson877","6e+05"
"CptSquall","6e+05"
"No Goal","6e+05"
"Nictox","6e+05"
"Nike","6e+05"
"Kami1931","6e+05"
"ShadowFenix","6e+05"
"Bamford13","6e+05"
"Meiw","6e+05"
