"col1","col2"
"mcpumpkin","1e+05"
"peskypenguin","1e+05"
"Toast","1e+05"
"iStegosauruz","1e+05"
"tweedledunn","1e+05"
"Thunfish","1e+05"
"Vaxlare","1e+05"
"Accka","1e+05"
"Yagoyi","1e+05"
"McGriddy10","1e+05"
"Mutedfaith","1e+05"
"JoshLatreille","1e+05"
"sköldpaddor","1e+05"
"RenoJacksonHS","1e+05"
"C9Van","1e+05"
"TheWoZy","1e+05"
"Hallsy","1e+05"
"jeffie43","1e+05"
"Inf1d3l","1e+05"
"sve7en","1e+05"
"Seany148","1e+05"
"Beta","2e+05"
"Henrik","2e+05"
"Randominoe","2e+05"
"golden_apricot","2e+05"
"raymond3000","2e+05"
"bdu754","2e+05"
"Ace","2e+05"
"mystick","2e+05"
"Thelastheraclid","2e+05"
"Marcul_le_depanneur","2e+05"
"Acsolap","2e+05"
"Andy","2e+05"
"esilverm","2e+05"
"Bfine","2e+05"
"the5urreal","2e+05"
"dogwoodmaple","2e+05"
"Muerto","2e+05"
"bluesfan55","2e+05"
"TheGreatToeJam","2e+05"
"Scrufdaddy","2e+05"
"MCP_","2e+05"
"hotdog","2e+05"
"HanTheMan_","3e+05"
"Punk42AE","3e+05"
"TheHammer43","3e+05"
"CptSquall","3e+05"
"Tesla","3e+05"
"chetib","3e+05"
"Jepox","3e+05"
"Gwdjohnson","3e+05"
"Samsungvirtualassistant","3e+05"
"Rangerjase","3e+05"
"TnlAstatine","3e+05"
"JT3","3e+05"
"Aneeqs","3e+05"
"Chevy","3e+05"
"liebolda","3e+05"
"ACapitalChicago","3e+05"
"boom","3e+05"
"By-Tor","3e+05"
"The__Y-man__100","3e+05"
"RedCapeDiver","3e+05"
"juniped","3e+05"
"ValorX77","4e+05"
"Toivo","4e+05"
"Raven","4e+05"
"NYR73","4e+05"
"TheNextGreatOne","4e+05"
"zeagle1","4e+05"
"Ohtaay","4e+05"
"hockeyfan","4e+05"
"Rankle","4e+05"
"Z0REM","4e+05"
"micool132","4e+05"
"RAmenAmen","4e+05"
"KaleSalad","4e+05"
"Fluw","4e+05"
"RomanesEuntDomus","4e+05"
"DarkCanuck29","4e+05"
"vic03","4e+05"
"thiefofcheese","4e+05"
"CampinKiller","4e+05"
"HabsFanFromOntario","4e+05"
"SchwarzNarr","5e+05"
"Lime","5e+05"
"jbay7","5e+05"
"lespoils","5e+05"
"Crunk","5e+05"
"FaraDian","5e+05"
"MyLittleHexx","5e+05"
"kenvald","5e+05"
"leviadan","5e+05"
"Anthique","5e+05"
"lore","6e+05"
"WannabeFinn","6e+05"
"OperationIvy","6e+05"
"jay2233","6e+05"
"CementHands","6e+05"
"natedoeshockey","6e+05"
"RainDelay","6e+05"
"nerji","6e+05"
"WildfireMicro","6e+05"
"ItsFrenchie","6e+05"
"RashfordU","6e+05"
"Nike","6e+05"
"Ronniewalker","6e+05"
"Carpy48","6e+05"
"Festinator","6e+05"
"Atox","6e+05"
"CapnCooper","6e+05"
"Keven","6e+05"
"JamesTruong","6e+05"
"Eggcracker9","6e+05"
"downer","6e+05"
"FuriousChicken","6e+05"
"Matty86","6e+05"
"Wearingabear","6e+05"
"39alaska39","6e+05"
"charlieconway","6e+05"
"hhh81","6e+05"
"Valpix","6e+05"
"Estovich","6e+05"
"OrbitingDeath","6e+05"
"erikvm","6e+05"
"slothfacekilla","6e+05"
"ElMerchanto","6e+05"
"DrunkenTeddy","6e+05"
"Nictox","6e+05"
"Salming","6e+05"
"NorwegianDemon","6e+05"
"SpartanGibbles","6e+05"
"steveoiscool","6e+05"
"retuperkele","6e+05"
"bbjygm","6e+05"
"MikeLiut","6e+05"
"Z-Whiz","6e+05"
"BarnabasCollins","6e+05"
"Sburbine","6e+05"
"SewingWithNancy","6e+05"
"leafsftw1967","6e+05"
"Duga","6e+05"
