"username","amount"
"dogwoodmaple","1e+05"
"sve7en","1e+05"
"SDCore","1e+05"
"CloudRobot","1e+05"
"Valpix","1e+05"
"G2019","1e+05"
"Pyro182","1e+05"
"gurbs","1e+05"
"Kato","1e+05"
"Count Chocula","1e+05"
"RobJG2","1e+05"
"CementHands","1e+05"
"Rangerjase","1e+05"
"jlutz14","1e+05"
"DeThePyro","1e+05"
"Rich","1e+05"
"KaleSalad","1e+05"
"ihatereyson","2e+05"
"takethehorizon","2e+05"
"CrazyMojito","2e+05"
"Whitecap","2e+05"
"Z-Whiz","2e+05"
"DrunkenTeddy","2e+05"
"echlyrica","2e+05"
"hannahg32","2e+05"
"WonderBread","2e+05"
"39alaska39","2e+05"
"Brody","2e+05"
"thiefofcheese","2e+05"
"christopolees","2e+05"
"chetib","2e+05"
"spooked","2e+05"
"Dindog","2e+05"
"Seany148","2e+05"
"DigDoug11","2e+05"
"UberBJ","2e+05"
"zaynzk","2e+05"
"Sizz","2e+05"
"caltroit_red_flames","2e+05"
"ephenssta","2e+05"
"st4rface","2e+05"
"Henrik","2e+05"
"NYR73","2e+05"
"mee","2e+05"
"RainDelay","2e+05"
"boom","2e+05"
"xjoverax","3e+05"
"JURT","3e+05"
"luke","3e+05"
"Cuffy","3e+05"
"Wally","3e+05"
"sköldpaddor","3e+05"
"Tsunny","3e+05"
"grimgrum","4e+05"
"zeagle1","4e+05"
"zaybae","4e+05"
"Scrufdaddy","4e+05"
"golden_apricot","4e+05"
"AuggieO","4e+05"
"Fitted2106","4e+05"
"Halkohol","4e+05"
"Thelastheraclid","4e+05"
"FaraDian","4e+05"
"Figgy","4e+05"
"baz","4e+05"
"Duga","4e+05"
"Rotti","4e+05"
"Spritestuff","4e+05"
"Hordle","4e+05"
"Cameron269","4e+05"
"MyLittleHexx","4e+05"
"linsangeles","4e+05"
"goilers","4e+05"
"5ympathies","4e+05"
"JT3","4e+05"
"karey","4e+05"
"yosh","4e+05"
"Andy","4e+05"
"Zerg","4e+05"
"MattyJ","5e+05"
"Chevy","5e+05"
"SmittyHextall","6e+05"
"trashae","6e+05"
"Ultimatedestroye","6e+05"
"Bamford13","6e+05"
"Schocar","6e+05"
"Bongo","6e+05"
"Whikadoodle","6e+05"
"adamantium","6e+05"
"JaytheGreat","6e+05"
"Evok","6e+05"
"RaidTheArcade","6e+05"
"Konelu","6e+05"
"CR225","6e+05"
"skyrrhawk","6e+05"
"locrianmidwest","6e+05"
"Jorec","6e+05"
"Toivo","6e+05"
"MMFLEX","6e+05"
"charlieconway","6e+05"
"Carpy48","6e+05"
"Atox","6e+05"
"trella","6e+05"
"unconfident69","6e+05"
"kahri","6e+05"
"ZootTX","6e+05"
"hockeyfan","6e+05"
"Wyattt.__","6e+05"
"No Goal","6e+05"
"Aephino","6e+05"
"Tesla","6e+05"
"Poiklm","6e+05"
"KalixIzalumi","6e+05"
"NorwegianDemon","6e+05"
"gaby","6e+05"
"spidey","6e+05"
"Seb","6e+05"
"WannabeFinn","6e+05"
"McGriddy10","6e+05"
"lemonoppy","6e+05"
"Bubba Tree","6e+05"
