"username","amount"
"NYR73","1e+05"
"sköldpaddor","1e+05"
"halanv3ntur3","1e+05"
"Count Chocula","1e+05"
"Enraged","1e+05"
"lore","1e+05"
"Thelastheraclid","1e+05"
"DrunkenTeddy","1e+05"
"honey","2e+05"
"MuNk22","2e+05"
"dk2710","2e+05"
"notorioustig","2e+05"
"jlutz14","2e+05"
"Inf1d3l","2e+05"
"Crash_Conrad","2e+05"
"Pure_bread_fred","2e+05"
"JoeSteel","2e+05"
"Whitecap","2e+05"
"trashae","2e+05"
"Valpix","2e+05"
".bojo","2e+05"
"unconfident69","2e+05"
"Cycro","2e+05"
"Rtpc31","2e+05"
"DELIRIVM","2e+05"
"Ace","2e+05"
"Pyro182","2e+05"
"tweedledunn","2e+05"
"Nhamlet","2e+05"
"AK41","2e+05"
"jsteele14","2e+05"
"DigDoug11","2e+05"
"zeagle1","2e+05"
"boom","2e+05"
"vic03","2e+05"
"Wearingabear","2e+05"
"Leppish","2e+05"
"goldenglutes","2e+05"
"BANACKOCK","2e+05"
"skyrrhawk","3e+05"
"Henrik","3e+05"
"PabloIceCreamBar","3e+05"
"Rich","3e+05"
"Tsunny","3e+05"
"Fitted2106","3e+05"
"Reedy0rNot","3e+05"
"the5urreal","3e+05"
"LordBallGag","3e+05"
"Frenchie","3e+05"
"NoLimitxUzii","4e+05"
"grimgrum","4e+05"
"Atox","4e+05"
"Massive Coiler","4e+05"
"TannerPitts","4e+05"
"MyLittleHexx","4e+05"
"ThePyroAlpaca","4e+05"
"mee","4e+05"
"UberBJ","4e+05"
"Mayuu","4e+05"
"raymond3000","4e+05"
"5ympathies","4e+05"
"By-Tor","4e+05"
"RainDelay","4e+05"
"Operation Ivy","4e+05"
"golden_apricot","4e+05"
"st4rface","4e+05"
"chetib","4e+05"
"cly","4e+05"
"Muerto","4e+05"
"karey","4e+05"
"JT3","4e+05"
"linsangeles","4e+05"
"CaptainCamel","4e+05"
"Wally","4e+05"
"FaraDian","5e+05"
"Arctic","5e+05"
"Juho","5e+05"
"RAmenAmen","5e+05"
"39alaska39","5e+05"
"Thunfish","5e+05"
"Raven","6e+05"
"NorwegianDemon","6e+05"
"Lime","6e+05"
"CptSquall","6e+05"
"Scrufdaddy","6e+05"
"dogwoodmaple","6e+05"
"Bongo","6e+05"
"PSUwithBigBlue","6e+05"
"C9Van","6e+05"
"MMFLEX","6e+05"
"Ohtaay","6e+05"
"Rangerjase","6e+05"
"kahri","6e+05"
"SewingWithNancy","6e+05"
"Hungy Fella","6e+05"
"spidey","6e+05"
"LampLighter","6e+05"
"Shiamus","6e+05"
"luke","6e+05"
"Jexter","6e+05"
"leafsftw1967","6e+05"
"Saucetonia","6e+05"
"JR95","6e+05"
"Nike","6e+05"
"Arcalegion","6e+05"
"Grum","6e+05"
"CloudRobot","6e+05"
"Aephino","6e+05"
"FuriousChicken","6e+05"
"Australiankek","6e+05"
"retuperkele","6e+05"
"Chevy","6e+05"
"ec06aaj","6e+05"
"ibuprofenaddict","6e+05"
"JohnnyPatey","6e+05"
"Carpy48","6e+05"
"natedoeshockey","6e+05"
"Tesla","6e+05"
"yosh","6e+05"
"jbay7","6e+05"
"soevil","6e+05"
"NaomiMannequeen","6e+05"
"thiefofcheese","6e+05"
"EmoLeBron","6e+05"
"WannabeFinn","6e+05"
"roastpuff","6e+05"
"diacope","6e+05"
"ViN","6e+05"
"mystick","6e+05"
"WildfireMicro","6e+05"
"Esso2264","6e+05"
"domffl","6e+05"
"tomtommen","6e+05"
"LeSizz","6e+05"
"Anthique","6e+05"
"Rotti","6e+05"
"BarnabasCollins","6e+05"
"Bruins10","6e+05"
"awils13","6e+05"
"Wheels","6e+05"
"charlieconway","6e+05"
"downer","6e+05"
"Andy","6e+05"
"zaybae","6e+05"
"Jorec","6e+05"
"fubaguy","6e+05"
"PapaSorin","6e+05"
"MrPresident","6e+05"
"TheOPSquid","6e+05"
"Weaves","6e+05"
"electrictree","6e+05"
"liebolda","6e+05"
"leviadan","6e+05"
"micool132","6e+05"
"dasboot","6e+05"
"MikeLiut","6e+05"
"Nictox","6e+05"
"oknom","6e+05"
"hhh81","6e+05"
"OrbitingDeath","6e+05"
"Salming","6e+05"
"Takk806","6e+05"
"slothfacekilla","6e+05"
"hockeyfan","6e+05"
"Katth","6e+05"
"SledgehammerPete","6e+05"
"ShadowFenix","6e+05"
"nahbruh123","6e+05"
"Figgy","6e+05"
"wizard_literal","6e+05"
"CrazyMojito","6e+05"
"Rabidsponge21","6e+05"
"steveoiscool","6e+05"
"dankoa","6e+05"
"Spartan","6e+05"
"sliceruser","6e+05"
"kenvald","6e+05"
"Keven","6e+05"
"RaidTheArcade","6e+05"
"JamesT","6e+05"
"bbjygm","6e+05"
"Toivo","6e+05"
"CapnCooper","6e+05"
"puolivalmiste","6e+05"
