"col1","col2"
"Count Chocula","1e+05"
"CptSquall","1e+05"
"ValorX77","1e+05"
"gurbs","1e+05"
"RomanesEuntDomus","1e+05"
"kast3rborous","1e+05"
"ACapitalChicago","1e+05"
"DrunkenTeddy","1e+05"
"Fitted2106","1e+05"
"Accka","1e+05"
"SFresh3","1e+05"
"Drokeep","1e+05"
"TheHammer43","1e+05"
"Bayley","1e+05"
"Whitecap","1e+05"
"dankoa","1e+05"
"EmoLeBron","1e+05"
"Inf1d3l","1e+05"
"dac","1e+05"
"Dindog","2e+05"
"TheRoyalEmpoleon","2e+05"
"raymond3000","2e+05"
"Raven","2e+05"
"NYR73","2e+05"
"mastersheep","2e+05"
"Hordle","2e+05"
"Thelastheraclid","2e+05"
"KaleSalad","2e+05"
"HabsFanFromOntario","2e+05"
"Caleb","2e+05"
"LarryTheMVP","2e+05"
"McGriddy10","2e+05"
"micool132","2e+05"
"Scrufdaddy","2e+05"
"RAmenAmen","2e+05"
"Rangerjase","2e+05"
"Josh Latreille","2e+05"
"ArmTheSharks","2e+05"
"Thunfish","2e+05"
"BadWolf","2e+05"
"Vaxlare","2e+05"
"5ympathies","2e+05"
"Seany148","2e+05"
"Festinator","2e+05"
"Nictox","3e+05"
"hockeyfan","3e+05"
"dogwoodmaple","3e+05"
"Crunk","3e+05"
"Ohtaay","3e+05"
"damienj10","3e+05"
"Evil_AllBran","3e+05"
"boom","3e+05"
"Andy","3e+05"
"bluesfan55","3e+05"
"LordBallGag","3e+05"
"C9Van","4e+05"
"gaby","4e+05"
"Z-Whiz","4e+05"
"RashfordU","4e+05"
"st4rface","4e+05"
"Matty86","4e+05"
"Wheels","4e+05"
"jlutz14","4e+05"
"SvgeMars","4e+05"
"Punk42AE","4e+05"
"Carpy48","4e+05"
"leviadan","4e+05"
"downer","4e+05"
"zeagle1","4e+05"
"Z0REM","4e+05"
"JT3","4e+05"
"JuOSu","4e+05"
"minaj27","4e+05"
"MMFLEX","4e+05"
"SledgehammerPete","4e+05"
"Lime","4e+05"
"Atox","4e+05"
"Wearingabear","4e+05"
"By-Tor","4e+05"
"thiefofcheese","4e+05"
"natedoeshockey","4e+05"
"vic03","4e+05"
"Sburbine","4e+05"
"ElMerchanto","4e+05"
"WannabeFinn","5e+05"
"NorwegianDemon","5e+05"
"tomtommen","5e+05"
"CementHands","5e+05"
"mcpumpkin","5e+05"
"the5urreal","5e+05"
"liebolda","5e+05"
"Henrik","5e+05"
"Valpix","5e+05"
"Katth","5e+05"
"Chevy","5e+05"
"RainDelay","6e+05"
"erikvm","6e+05"
"bdu754","6e+05"
"nerji","6e+05"
"Operation Ivy","6e+05"
"OrbitingDeath","6e+05"
"Eggcracker9","6e+05"
"FuriousChicken","6e+05"
"mystick","6e+05"
"FaraDian","6e+05"
"Acsolap","6e+05"
"Frenchie","6e+05"
"Tesla","6e+05"
"MikeLiut","6e+05"
"Aneeqs","6e+05"
"WildfireMicro","6e+05"
"Estovich","6e+05"
"Ronniewalker","6e+05"
"lore","6e+05"
"chetib","6e+05"
"jbay7","6e+05"
"spidey","6e+05"
"TnlAstatine","6e+05"
"39alaska39","6e+05"
"Toivo","6e+05"
"jtanner20","6e+05"
"WubbaLubbaDubDub184","6e+05"
"JURT","6e+05"
"hewasajazzman","6e+05"
"steveoiscool","6e+05"
"Hungy Fella","6e+05"
"KlusteR","6e+05"
"Duga","6e+05"
"charlieconway","6e+05"
"domffl","6e+05"
"BarnabasCollins","6e+05"
"TheDangaZone","6e+05"
"Marcul_le_depanneur","6e+05"
"SpartanGibbles","6e+05"
"Anthique","6e+05"
"slothfacekilla","6e+05"
"retuperkele","6e+05"
"SewingWithNancy","6e+05"
"hhh81","6e+05"
"CapnCooper","6e+05"
"XxCL16xX","6e+05"
"Matteo","6e+05"
"golden_apricot","6e+05"
"leafsftw1967","6e+05"
"bbjygm","6e+05"
"kenvald","6e+05"
"jay2233","6e+05"
"JamesT","6e+05"
"Keven","6e+05"
"Salming","6e+05"
