"username","amount"
"sve7en","1e+05"
"echlyrica","1e+05"
"RomanesEuntDomus","1e+05"
"Mutedfaith","1e+05"
"baz","1e+05"
"Dynamicmlb_42","1e+05"
"Wally","1e+05"
"Lumosityfan","1e+05"
"Eggcracker","1e+05"
"locrianmidwest","2e+05"
"TannerPitts","2e+05"
"JNH","2e+05"
"Huck24","2e+05"
"Bamford13","2e+05"
"JohnnyPatey","2e+05"
"Seany148","2e+05"
"Runningman434","2e+05"
"SewingWithNancy","2e+05"
"AW13","2e+05"
"RobJG2","2e+05"
"ihatereyson","2e+05"
"Fitted2106","2e+05"
"Cuffy","2e+05"
"hockeymil","2e+05"
"Tdan04","2e+05"
"vbottas17","2e+05"
"liebolda","2e+05"
"Clapbomb_IV","2e+05"
"FuriousChicken","2e+05"
"Smirnov Light","2e+05"
"Stanger77","2e+05"
"Leppish","2e+05"
"r0tzbua","2e+05"
"Wyattt.__","2e+05"
"NYR73","2e+05"
"SloppyPainter","2e+05"
"JasonHopefully","2e+05"
"bluesfan55","2e+05"
"ephenssta","2e+05"
"Whitecap","3e+05"
"yosh","3e+05"
"lmao","3e+05"
"EmoLeBron","3e+05"
"sköldpaddor","3e+05"
"ThatDamnWalrus","3e+05"
"natedoeshockey","4e+05"
"Bongo","4e+05"
"39alaska39","4e+05"
"JaytheGreat","4e+05"
"Massive Coiler","4e+05"
"Wearingabear","4e+05"
"Grum","4e+05"
"Scrufdaddy","4e+05"
"Jepox","4e+05"
"LampLighter","4e+05"
"Baron","4e+05"
"jj2416","4e+05"
"Boomerange","4e+05"
"Saucetonia","4e+05"
"linsangeles","4e+05"
"mjlikp","4e+05"
"Security Shark","4e+05"
"MMFLEX","4e+05"
"domffl","4e+05"
"Andy","4e+05"
"Vulfzilla","4e+05"
"Ruggsy","4e+05"
"Spritestuff","4e+05"
"Cobbenstein","4e+05"
"Nike","4e+05"
"Thor","4e+05"
"phoenix","5e+05"
"Jumbobone19","5e+05"
"Grapehead","5e+05"
"Valpix","5e+05"
"ZootTX","5e+05"
"zeagle1","5e+05"
"Rangerjase","5e+05"
"Chevy","5e+05"
"Carpy48","6e+05"
"Henrik","6e+05"
"roastpuff","6e+05"
"Missjmt","6e+05"
"Jorec","6e+05"
"JellyRamp","6e+05"
"Serpe x 13","6e+05"
"Lime","6e+05"
"mystick","6e+05"
"Hungy Fella","6e+05"
"Dash","6e+05"
"Weaves","6e+05"
"Spartan","6e+05"
"NONAME","6e+05"
"Repgnar","6e+05"
"kahri","6e+05"
"Operation Ivy","6e+05"
"FaraDian","6e+05"
"Punk42AE","6e+05"
"skyrrhawk","6e+05"
