"username","amount"
"Count Chocula","1e+05"
"anuragb","1e+05"
"theevilisback","1e+05"
"Dynamicmlb_42","1e+05"
"Lumosityfan","1e+05"
"LtBlackGrizzly","2e+05"
"mer","2e+05"
"Gordon Bombay","2e+05"
"skyrrhawk","2e+05"
"kb.m","2e+05"
"Toivo","2e+05"
"MrPrime","2e+05"
"ThePyroAlpaca","2e+05"
"Caspwad","2e+05"
"Sevrin","2e+05"
"Cuffy","2e+05"
"Aneeqs","2e+05"
"MMFLEX","2e+05"
"Standardan","2e+05"
"Puppy","2e+05"
"Nictox","2e+05"
"Dangles13","2e+05"
"Patryk913","2e+05"
"TheLokiWild","2e+05"
"OblivionWalker","2e+05"
"wumaduce","2e+05"
"Grum","2e+05"
"catlover102","2e+05"
"Le Thrill","2e+05"
"Jonnyhockey17","2e+05"
"Evan","2e+05"
"AuggieO","2e+05"
"Jearim","2e+05"
"Valpix","3e+05"
"G2019","3e+05"
"BoxOfRox","3e+05"
"jreiser18","3e+05"
"Chris","4e+05"
"Shiamus","4e+05"
"MattyIce","4e+05"
"golden_apricot","4e+05"
"TubaDeus","4e+05"
"xenosthelegend","4e+05"
"swoosh","4e+05"
"Evil_AllBran","4e+05"
"Vulfzilla","4e+05"
"Nike","4e+05"
"ilgatto","4e+05"
"LeakyCink","4e+05"
"Rancidbudgie","4e+05"
"Clint Eastwood","4e+05"
"Urq660","4e+05"
"Raven","4e+05"
"jcole","4e+05"
"RainDelay","4e+05"
"anywheresoundsnice","4e+05"
"EricNCSU","4e+05"
"Punk42AE","4e+05"
"GoldBlue10","4e+05"
"Michiganonymous","4e+05"
"Conraddvd","4e+05"
"Tripl3tsGamer","4e+05"
"Pelochyta","4e+05"
"cowbutch","4e+05"
"ephenssta","4e+05"
"HanTheMan_","4e+05"
"GabeyD","4e+05"
"soulja","4e+05"
"ibuprofenaddict","4e+05"
"Rtpc31","4e+05"
"Alice","4e+05"
"Andy","4e+05"
"LordBallGag","4e+05"
"Bfine","4e+05"
"Murtsi","4e+05"
"Papajon","5e+05"
"Mongoose87","5e+05"
"JR95","5e+05"
"TipToasty","5e+05"
"zeagle1","5e+05"
"Morethanjustaguy","5e+05"
"sköldpaddor","5e+05"
"synes7hesia","5e+05"
"Katth","6e+05"
"Scrufdaddy","6e+05"
"FourFour","6e+05"
"Arkz","6e+05"
"PixelNick13","6e+05"
"CybershadeEDM","6e+05"
"OVOXO","6e+05"
"diacope","6e+05"
"Magenta","6e+05"
"TheWoZy","6e+05"
"visceralpotamus","6e+05"
"Kyamprac","6e+05"
"micool132","6e+05"
"MyLittleHexx","6e+05"
"KalixIzalumi","6e+05"
"Huck24","6e+05"
"hockeyfan","6e+05"
"Lime","6e+05"
"NessleKrunk","6e+05"
"Ashes","6e+05"
"Operation Ivy","6e+05"
"Toast","6e+05"
"Ivornen","6e+05"
"sixhausen","6e+05"
"LampLighter","6e+05"
"thatguy131","6e+05"
"Renomitsu","6e+05"
"Tesla","6e+05"
"vbottas17","6e+05"
"Daleks","6e+05"
"jacobcarson877","6e+05"
"Ara","6e+05"
"tomtommen","6e+05"
"Vandy","6e+05"
"Sajkashi","6e+05"
"bobdigi9","6e+05"
"Durodo","6e+05"
"roastpuff","6e+05"
"Enessbee","6e+05"
"Dash","6e+05"
"mcpumpkin","6e+05"
"lunaripcole","6e+05"
"robstien","6e+05"
"Anthique","6e+05"
"fubaguy","6e+05"
"Pandar","6e+05"
"Cycro","6e+05"
"mattebleu","6e+05"
"Thunfish","6e+05"
"lemonoppy","6e+05"
"dogwoodmaple","6e+05"
"NUCK","6e+05"
"Gaia Mormont","6e+05"
"Deli","6e+05"
"Jorec","6e+05"
"plummdogmillionaire","6e+05"
"Juho","6e+05"
"spidey","6e+05"
"Muerto","6e+05"
"Brenadyr","6e+05"
"McAl95","6e+05"
"Confusion","6e+05"
"Weaves","6e+05"
"roquefort","6e+05"
"By-Tor","6e+05"
"Palace_Posy524","6e+05"
"GreekGod","6e+05"
"puolivalmiste","6e+05"
"Soviet Sexpot","6e+05"
"Ronniewalker","6e+05"
"Carpy48","6e+05"
"Turbanator","6e+05"
"Dextaria","6e+05"
"Degradation","6e+05"
"Pifferfish","6e+05"
"NorwegianDemon","6e+05"
"homercrates","6e+05"
"Stamkos Is My Dad","6e+05"
"Dziadek93","6e+05"
"HoodRatRoyalty","6e+05"
"icnatspel","6e+05"
"Dman2213","6e+05"
"Gallade081","6e+05"
"MuNk22","6e+05"
"LukeToussaint","6e+05"
"Rich","6e+05"
"amjohnson636","6e+05"
"CheeseConeys","6e+05"
"notoriousTRON","6e+05"
"Bluedog25123","6e+05"
"captainsb","6e+05"
"admiralballtr8s","6e+05"
"efischermann","6e+05"
"iamslm22","6e+05"
"NoFace","6e+05"
"FingolfinandRingil","6e+05"
"Chevy","6e+05"
"hockeymil","6e+05"
"Metafiction","6e+05"
"Louchyz","6e+05"
"Obsolete","6e+05"
"CharethCutestory78","6e+05"
"OrbitingDeath","6e+05"
"Zerg","6e+05"
"Gifter of Bikes","6e+05"
"NJBadApple","6e+05"
"prattk1987","6e+05"
"VerdantSky","6e+05"
"Massive Coiler","6e+05"
"kdr","6e+05"
