"col1","col2"
"Whitecap","1e+05"
"spooked","1e+05"
"tweedledunn","1e+05"
"Leatherneckmike","1e+05"
"Rich","1e+05"
"Caleb_H","1e+05"
"mcgriddleluver","1e+05"
"JMacNCheese","1e+05"
"Thunfish","1e+05"
"vbottas17","1e+05"
"hotdog","1e+05"
"Punk42AE","1e+05"
"AW13","1e+05"
"tomtommen","1e+05"
"Mutedfaith","1e+05"
"roastpuff","1e+05"
"Ragnar","1e+05"
"ZootTX","1e+05"
"marco999","1e+05"
"Canadice","1e+05"
"gurbs","1e+05"
"AirCrou","1e+05"
"Hallsy","1e+05"
"zaybae","1e+05"
"Rotti","1e+05"
"JoshLatreille","1e+05"
"sköldpaddor","1e+05"
"EmoLeBron","1e+05"
"CountChocula","1e+05"
"CptSquall","1e+05"
"Snussu","1e+05"
"Andy","1e+05"
"Ruggsy","1e+05"
"Jumbobone19","1e+05"
"ElMerchanto","2e+05"
"5ympathies","2e+05"
"raymond3000","2e+05"
"Crunk","2e+05"
"sulovilen","2e+05"
"mer","2e+05"
"Wally","2e+05"
"peskypenguin","2e+05"
"Vaxlare","2e+05"
"dankoa","2e+05"
"Festinator","2e+05"
"goldenglutes","2e+05"
"Leoben","2e+05"
"Opera_Phantom","2e+05"
"bbjygm","2e+05"
"sve7en","2e+05"
"Wheels","2e+05"
"HanTheMan_","2e+05"
"WildfireMicro","2e+05"
"SDCore","2e+05"
"bluesfan55","2e+05"
"HabsFanFromOntario","2e+05"
"Marcul_le_depanneur","2e+05"
"G2019","2e+05"
"vic03","2e+05"
"gaby","3e+05"
"RAmenAmen","3e+05"
"Aneeqs","3e+05"
"luke","3e+05"
"Z0REM","3e+05"
"McGriddy10","3e+05"
"KlusteR","3e+05"
"blakec1414","3e+05"
"Randominoe","3e+05"
"jbay7","3e+05"
"SimmiZ","3e+05"
"ValorX77","3e+05"
"Yagoyi","3e+05"
"Grum","3e+05"
"hockeyfan","3e+05"
"Evil_AllBran","3e+05"
"Ace","3e+05"
"Lime","3e+05"
"leafsftw1967","3e+05"
"Nhamlet","3e+05"
"JT3","3e+05"
"golden_apricot","3e+05"
"Toivo","3e+05"
"JNH","3e+05"
"RenoJacksonHS","3e+05"
"Fluw","4e+05"
"Seany148","4e+05"
"KaleSalad","4e+05"
"Jepox","4e+05"
"DarkCanuck29","4e+05"
"Toast","4e+05"
"MikeLiut","4e+05"
"Atox","4e+05"
"thiefofcheese","4e+05"
"SewingWithNancy","4e+05"
"Bfine","4e+05"
"micool132","4e+05"
"FaraDian","4e+05"
"boom","5e+05"
"Muerto","5e+05"
"ItsFrenchie","5e+05"
"Thelastheraclid","5e+05"
"C9Van","5e+05"
"OperationIvy","5e+05"
"MyLittleHexx","5e+05"
"Nictox","5e+05"
"downer","5e+05"
"Rankle","5e+05"
"SchwarzNarr","5e+05"
"ACapitalChicago","5e+05"
"Chevy","5e+05"
"Valpix","5e+05"
"CampinKiller","5e+05"
"jay2233","6e+05"
"Carpy48","6e+05"
"TnlAstatine","6e+05"
"bdu754","6e+05"
"WannabeFinn","6e+05"
"Eggcracker9","6e+05"
"slothfacekilla","6e+05"
"brickwall35","6e+05"
"retuperkele","6e+05"
"Ronniewalker","6e+05"
"FuriousChicken","6e+05"
"natedoeshockey","6e+05"
"RashfordU","6e+05"
"NYR73","6e+05"
"erikvm","6e+05"
"nerji","6e+05"
"chetib","6e+05"
"Samsungvirtualassistant","6e+05"
"lore","6e+05"
"RedCapeDiver","6e+05"
"Wearingabear","6e+05"
"mystick","6e+05"
"juniped","6e+05"
"JamesTruong","6e+05"
"SpartanGibbles","6e+05"
"CementHands","6e+05"
"steveoiscool","6e+05"
"Estovich","6e+05"
"Anthique","6e+05"
"OrbitingDeath","6e+05"
"Acsolap","6e+05"
"Henrik","6e+05"
"charlieconway","6e+05"
"Duga","6e+05"
"lespoils","6e+05"
"Ohtaay","6e+05"
"DrunkenTeddy","6e+05"
"Rangerjase","6e+05"
"hhh81","6e+05"
"Salming","6e+05"
"BarnabasCollins","6e+05"
"leviadan","6e+05"
"the5urreal","6e+05"
"CapnCooper","6e+05"
"kenvald","6e+05"
"Keven","6e+05"
"Sburbine","6e+05"
