"username","amount"
"Blastmeaway","1e+05"
"Seany148","1e+05"
"Sevrin","1e+05"
"sve7en","1e+05"
"Tylala","1e+05"
"tredpalo","2e+05"
"Yagoyi","2e+05"
"jacobcarson877","2e+05"
"ihatereyson","2e+05"
"Kalakar","2e+05"
"golden_apricot","2e+05"
"Australiankek","2e+05"
"SpartanGibbles","2e+05"
"karey","2e+05"
"Z-Whiz","2e+05"
"Raven","2e+05"
"Shiamus","2e+05"
"Samsung virtual assistant","2e+05"
".Laser","2e+05"
"CrazyMojito","2e+05"
"st4rface","2e+05"
"Arctic","2e+05"
"Fluberwusterdinge","2e+05"
"DakotaB23","2e+05"
"jakkysosa","2e+05"
"Froste39","2e+05"
"Kybel","2e+05"
"trella","2e+05"
"lemonoppy","2e+05"
"DETisHockeytown","2e+05"
"SewingWithNancy","2e+05"
"Jepox","2e+05"
"damienj10","2e+05"
"RAmenAmen","2e+05"
"luke","2e+05"
"FuriousChicken","2e+05"
"Moonchildxox","2e+05"
"Bubba Tree","2e+05"
"Accka","2e+05"
"Unjusttelevision","2e+05"
"Vaxlare","2e+05"
"McScootie","2e+05"
"Omij","2e+05"
"Neadex","2e+05"
"Baron","3e+05"
"yosh","3e+05"
"sköldpaddor","3e+05"
"Halkohol","4e+05"
"Kami1931","4e+05"
"JaytheGreat","4e+05"
"JNH","4e+05"
"Henrik","4e+05"
"Serpe x 13","4e+05"
"Jorec","4e+05"
"Hetaksh03","4e+05"
"Count Chocula","4e+05"
"Tsunny","4e+05"
"Muford","4e+05"
"39alaska39","4e+05"
"mystick","4e+05"
"MattyJ","4e+05"
"Rtpc31","4e+05"
"ByrdeMan","4e+05"
"MightyMulder","4e+05"
"Deecee98","4e+05"
"JBeckQuest","4e+05"
"MattyIce","4e+05"
"lunaripcole","4e+05"
"Scrufdaddy","4e+05"
"o1playz","4e+05"
"fancey13","4e+05"
"Punk42AE","4e+05"
"Papajon","4e+05"
"Agito","4e+05"
"snek","4e+05"
"hockeymil","4e+05"
"Wheels","4e+05"
"RainDelay","4e+05"
"Aleris","4e+05"
"wizard_literal","4e+05"
"ephenssta","4e+05"
"ivanoff","4e+05"
"Lumosityfan","4e+05"
"cake307","4e+05"
"kdr","4e+05"
"Takk806","5e+05"
"Inf1d3l","5e+05"
"BANACKOCK","5e+05"
"Bongo","5e+05"
"Mr35","5e+05"
"Katth","6e+05"
"Mrkarma94","6e+05"
