"username","amount"
"luke","1e+05"
"Count Chocula","1e+05"
"FaraDian","1e+05"
"McBjorner","1e+05"
"Ultimatedestroye","2e+05"
"Takk806","2e+05"
"Bubba Tree","2e+05"
"RashfordU","2e+05"
"Shylo_Moxii","2e+05"
"notorioustig","2e+05"
"Repgnar","2e+05"
"golden_apricot","2e+05"
"MightyMulder","2e+05"
"OhFuckALawyer","2e+05"
"oknom","2e+05"
"SpartanGibbles","2e+05"
"Jorec","2e+05"
"sliceruser","2e+05"
"JNH","2e+05"
"tomtommen","2e+05"
"RAmenAmen","2e+05"
"ihatereyson","2e+05"
"KanameRei","2e+05"
"mystick","2e+05"
"Snipex91","2e+05"
"mee","2e+05"
"st4rface","2e+05"
"Wallfly","2e+05"
"Gallade081","2e+05"
"taterswc","2e+05"
"hannahg32","2e+05"
"Eggcracker","2e+05"
"rtguys","2e+05"
"Ara","2e+05"
"Bamford13","2e+05"
"Dirty Puma","2e+05"
"Viking8712","2e+05"
"MrPrime","2e+05"
"NYR73","2e+05"
"sköldpaddor","2e+05"
"Kalakar","2e+05"
"Massive Coiler","2e+05"
"Lumosityfan","2e+05"
"JR95","2e+05"
"Ace","2e+05"
"Hordle","2e+05"
"Omniscius","3e+05"
"HabsFanFromOntario","3e+05"
"kahri","3e+05"
"Frenchie","3e+05"
"Aford9910","3e+05"
"Papajon","3e+05"
"JaytheGreat","4e+05"
"Ohtaay","4e+05"
"JejuDaejiGogi","4e+05"
"lemonoppy","4e+05"
"mattebleu","4e+05"
"ThePyroAlpaca","4e+05"
"WannabeFinn","4e+05"
"Z-Whiz","4e+05"
"Ferwx","4e+05"
"Punk42AE","4e+05"
"Bongo","4e+05"
"MattyJ","4e+05"
"MattyIce","4e+05"
"Ronniewalker","4e+05"
"Hetaksh03","4e+05"
"Mr35","4e+05"
"Bru4thelou","4e+05"
"Aephino","4e+05"
"ZodiacEXE","4e+05"
"Cycro","4e+05"
"Zerg","4e+05"
"Jason","4e+05"
"Neadex","4e+05"
"goldenglutes","4e+05"
"Andy","4e+05"
"Caspwad","4e+05"
"smelly","4e+05"
"cbx","4e+05"
"ec06aaj","4e+05"
"PonceAR","4e+05"
"Jagg102","4e+05"
"Possum Queen","4e+05"
"Gunde &quot;viking&quot; Svan","4e+05"
"Kybel","4e+05"
"Kewl","4e+05"
"MrRuihu","4e+05"
"Samwich","4e+05"
"dankoa","4e+05"
"aj.buggs","4e+05"
"marco999","4e+05"
"anuragb","5e+05"
"Jimbo1990","5e+05"
"Tesla","5e+05"
"Katth","6e+05"
"Scrufdaddy","6e+05"
"Chris","6e+05"
"Noruoficeland","6e+05"
"Mrkarma94","6e+05"
"Huck24","6e+05"
"Dewalt27","6e+05"
"Mongoose87","6e+05"
"Schocar","6e+05"
"vbottas17","6e+05"
"Inf1d3l","6e+05"
"Jumbo","6e+05"
"EmoLeBron","6e+05"
"PapaSorin","6e+05"
"Shiamus","6e+05"
"Australiankek","6e+05"
"DarthDaevin","6e+05"
"LordBirdman","6e+05"
"zeagle1","6e+05"
"LampLighter","6e+05"
"bfan8475","6e+05"
"Popol","6e+05"
"thatguy131","6e+05"
"ocho","6e+05"
"DETisHockeytown","6e+05"
"Rookyi","6e+05"
"Toivo","6e+05"
"Chin","6e+05"
"AuggieO","6e+05"
"HillsHaveHats","6e+05"
"plummdogmillionaire","6e+05"
"Brenadyr","6e+05"
"Juho","6e+05"
"No Goal","6e+05"
"Nike","6e+05"
"Raf_TML","6e+05"
"Rabidsponge21","6e+05"
"OVOXO","6e+05"
"Serpe x 13","6e+05"
"Iceolate19","6e+05"
"2by2ark","6e+05"
"BarnabasCollins","6e+05"
"Raven","6e+05"
"bobdigi9","6e+05"
"Ivornen","6e+05"
"LeakyCink","6e+05"
"o1playz","6e+05"
"swoosh","6e+05"
"spidey","6e+05"
"CybershadeEDM","6e+05"
"roastpuff","6e+05"
"Gaia Mormont","6e+05"
"Renomitsu","6e+05"
"kb.m","6e+05"
"roquefort","6e+05"
"Thunfish","6e+05"
"Magenta","6e+05"
"Anthique","6e+05"
"micool132","6e+05"
"Muerto","6e+05"
"skyrrhawk","6e+05"
"Steelflex","6e+05"
"damienj10","6e+05"
"Rich","6e+05"
"ztevans","6e+05"
"Wrehkz","6e+05"
"Jonnyhockey17","6e+05"
"Mtstreaks04","6e+05"
"Operation Ivy","6e+05"
"Nol15736","6e+05"
"Deli","6e+05"
"Carpy48","6e+05"
"retuperkele","6e+05"
"Vaxlare","6e+05"
"Ashes","6e+05"
"AJW","6e+05"
"sobrien6187","6e+05"
"NorwegianDemon","6e+05"
"efischermann","6e+05"
"KalixIzalumi","6e+05"
"BANACKOCK","6e+05"
"Bluedog25123","6e+05"
"NUCK","6e+05"
"Dash","6e+05"
"RainDelay","6e+05"
"ItZSmalls","6e+05"
"hockeyfan","6e+05"
"NJBadApple","6e+05"
"egregious","6e+05"
"ShadowFenix","6e+05"
"Rtpc31","6e+05"
"Marshi","6e+05"
"Jackienape","6e+05"
"TubaDeus","6e+05"
"EricNCSU","6e+05"
"ephenssta","6e+05"
"Nictox","6e+05"
"the5urreal","6e+05"
"Vulfzilla","6e+05"
"ghamss","6e+05"
"jaypc8237","6e+05"
"OrbitingDeath","6e+05"
"TheOPSquid","6e+05"
"Tripl3tsGamer","6e+05"
"jbay7","6e+05"
"JuOSu","6e+05"
"cake307","6e+05"
"Stamkos Is My Dad","6e+05"
"theevilisback","6e+05"
"ColonelSaunders","6e+05"
"charlieconway","6e+05"
"Lime","6e+05"
"Conraddvd","6e+05"
"MrPresident","6e+05"
"Atheist_Caliph","6e+05"
"schotte74","6e+05"
"Marmelad","6e+05"
"pboomg","6e+05"
"Blues","6e+05"
"prattk1987","6e+05"
"5ympathies","6e+05"
"Tdan04","6e+05"
"Astro","6e+05"
"puolivalmiste","6e+05"
"LGRW613","6e+05"
"visceralpotamus","6e+05"
"Soviet Sexpot","6e+05"
"hockeymil","6e+05"
"Just-Here-To-not-Get-Fined","6e+05"
"kilopeter","6e+05"
"lunaripcole","6e+05"
"fancey13","6e+05"
"sofiem964","6e+05"
"Bingo97","6e+05"
"Baron1898","6e+05"
"soulja","6e+05"
"noxu","6e+05"
"kdr","6e+05"
"CementHands","6e+05"
"ctots","6e+05"
"Rokkat","6e+05"
"MuNk22","6e+05"
"Figgy","6e+05"
"dude_man","6e+05"
"Weaves","6e+05"
"Vrain","6e+05"
"Louchyz","6e+05"
"CaptainCamel","6e+05"
"Chevy","6e+05"
"Troy_McClure03","6e+05"
"Flyerfan9988","6e+05"
"CptSquall","6e+05"
"Urq660","6e+05"
