"username","amount"
"Count Chocula","1e+05"
"Nhamlet","1e+05"
"Gwdjohnson","1e+05"
"jj2416","1e+05"
"RomanesEuntDomus","1e+05"
"ephenssta","1e+05"
"jaypc8237","1e+05"
"BadWolf","1e+05"
"Reno","1e+05"
"WithTheMoose","1e+05"
"DrunkenTeddy","1e+05"
"Orbinfluencer","1e+05"
"JURT","1e+05"
"Mr35","1e+05"
"Jimmysmo27","1e+05"
"Dynamicmlb_42","1e+05"
"grimgrum","2e+05"
"Spartan","2e+05"
"DigDoug11","2e+05"
"Leppish","2e+05"
"JohnnyPatey","2e+05"
"Boomcheck","2e+05"
"goldenglutes","2e+05"
"dogwoodmaple","2e+05"
"Frenchie","2e+05"
"Z-Whiz","2e+05"
"FuriousChicken","2e+05"
"AW13","2e+05"
"MrPrime","2e+05"
"wizard_literal","2e+05"
"ThisSeemsFishy","2e+05"
"unconfident69","2e+05"
"DoubleDub","2e+05"
"Poiklm","2e+05"
"thiefofcheese","2e+05"
"Cobbenstein","2e+05"
"Spritestuff","2e+05"
"Boomerange","2e+05"
"Grapehead","2e+05"
"KaleSalad","2e+05"
"Lime","2e+05"
"39alaska39","2e+05"
"Rich","2e+05"
"Zaitsev","2e+05"
"Wyattt.__","2e+05"
"SloppyPainter","2e+05"
"Aleris","2e+05"
"caltroit_red_flames","2e+05"
"vic03","2e+05"
"EricNCSU","2e+05"
"SewingWithNancy","2e+05"
"Mutedfaith","3e+05"
"Rangerjase","3e+05"
"yosh","3e+05"
"Jumbobone19","4e+05"
"WannabeFinn","4e+05"
"golden_apricot","4e+05"
"MattyIce","4e+05"
"Repgnar","4e+05"
"Rotti","4e+05"
"notorioustig","4e+05"
"Whitecap","4e+05"
"Wearingabear","4e+05"
"NONAME","4e+05"
"Aephino","4e+05"
"ImShiny","4e+05"
"Schocar","4e+05"
"hockeymil","4e+05"
"Runningman434","4e+05"
"mee","4e+05"
"FaraDian","4e+05"
"domffl","4e+05"
"NUCK","4e+05"
"Seb","4e+05"
"hannahg32","4e+05"
"Vulfzilla","4e+05"
"taterswc","4e+05"
"Halkohol","4e+05"
"Punk42AE","4e+05"
"Bamford13","4e+05"
"TannerPitts","4e+05"
"JT3","4e+05"
"Arcalegion","4e+05"
"Eggcracker","4e+05"
"ThatDamnWalrus","4e+05"
"liebolda","4e+05"
"linsangeles","4e+05"
"ihatereyson","4e+05"
"roastpuff","4e+05"
"Stanger77","5e+05"
"sköldpaddor","5e+05"
"Scrufdaddy","6e+05"
"natedoeshockey","6e+05"
"Security Shark","6e+05"
"NaomiMannequeen","6e+05"
"locrianmidwest","6e+05"
"lemonoppy","6e+05"
"downer","6e+05"
"Atox","6e+05"
"Huck24","6e+05"
"Ruggsy","6e+05"
"Grybyx","6e+05"
"LampLighter","6e+05"
"SpartanGibbles","6e+05"
"RashfordU","6e+05"
"micool132","6e+05"
"Whikadoodle","6e+05"
"Inf1d3l","6e+05"
"CementHands","6e+05"
"Serpe x 13","6e+05"
"JaytheGreat","6e+05"
"Hungy Fella","6e+05"
"zeagle1","6e+05"
"fubaguy","6e+05"
"Thunfish","6e+05"
"jjlangabeer","6e+05"
"Omij","6e+05"
"MattyJ","6e+05"
"skyrrhawk","6e+05"
"MrPresident","6e+05"
"Vice","6e+05"
"Steelflex","6e+05"
"Weaves","6e+05"
"Operation Ivy","6e+05"
"Fitted2106","6e+05"
"Cuffy","6e+05"
"Chris","6e+05"
"ZootTX","6e+05"
"mjlikp","6e+05"
"Bruins10","6e+05"
"Tesla","6e+05"
"Ultimatedestroye","6e+05"
"Revontulete","6e+05"
"Grum","6e+05"
"NorwegianDemon","6e+05"
"Missjmt","6e+05"
"Thelastheraclid","6e+05"
"Troy_McClure03","6e+05"
"KalixIzalumi","6e+05"
"PapaSorin","6e+05"
"Jorec","6e+05"
"hockeyfan","6e+05"
"Accka","6e+05"
"LordBallGag","6e+05"
"phoenix","6e+05"
"Zema","6e+05"
"CreHuf8","6e+05"
"bobdigi9","6e+05"
"gaby","6e+05"
"ZodiacEXE","6e+05"
"vbottas17","6e+05"
"sliceruser","6e+05"
"JellyRamp","6e+05"
"Wheels","6e+05"
"Renomitsu","6e+05"
"jacobcarson877","6e+05"
"droop","6e+05"
"st4rface","6e+05"
"puolivalmiste","6e+05"
"dankoa","6e+05"
"mystick","6e+05"
"ItsBooth","6e+05"
"WonderBread","6e+05"
"Ohtaay","6e+05"
"roquefort","6e+05"
"Possum Queen","6e+05"
"TheGreatOne","6e+05"
"Shiamus","6e+05"
"Muerto","6e+05"
"efischermann","6e+05"
"Vandy","6e+05"
"tredpalo","6e+05"
"RaidTheArcade","6e+05"
"MuNk22","6e+05"
"slothfacekilla","6e+05"
"Puppy","6e+05"
"Clapbomb_IV","6e+05"
"Anthique","6e+05"
