"username","amount"
"Hallsy","1e+05"
"bjkman","1e+05"
"Triscuttt3","1e+05"
"WannabeFinn","1e+05"
"Omij","1e+05"
"IceeBreaksTheSHL","1e+05"
"HabsFanFromOntario","1e+05"
"looees_77","1e+05"
"Patty","1e+05"
"thiefofcheese","1e+05"
"C9Van","1e+05"
"ZootTX","1e+05"
"Spkris","1e+05"
"Ultimatedestroye","2e+05"
"Ohtaay","2e+05"
"locrianmidwest","2e+05"
"BadWolf","2e+05"
"JohnnyPatey","2e+05"
"Repgnar","2e+05"
"RashfordU","2e+05"
"Aurora","2e+05"
"Charuzu","2e+05"
"Punk42AE","2e+05"
"Baron","2e+05"
"Steelflex","2e+05"
"redwings26135","2e+05"
"TBFAW","2e+05"
"TheGreatOne","2e+05"
"Hungy Fella","2e+05"
"ConjureBones","2e+05"
"SewingWithNancy","2e+05"
"Z-Whiz","2e+05"
"FuriousChicken","2e+05"
"CrazyMojito","2e+05"
"Lemorse7","2e+05"
"mystick","2e+05"
"jjlangabeer","2e+05"
"Kybel","2e+05"
"Dhoop","2e+05"
"Belmont","2e+05"
"Cuffy","2e+05"
"TannerPitts","2e+05"
"GrïmR3æpêr","2e+05"
"buzzball","2e+05"
"KanameRei","2e+05"
"Akoustique","2e+05"
"Cobbenstein","2e+05"
"Unjusttelevision","2e+05"
"Lumosityfan","3e+05"
"Kalakar","3e+05"
"Tesla","3e+05"
"Serpe x 13","3e+05"
"Schocar","4e+05"
"ihatereyson","4e+05"
"JaytheGreat","4e+05"
"Aephino","4e+05"
"Shiamus","4e+05"
"golden_apricot","4e+05"
"Frenchie","4e+05"
"ZodiacEXE","4e+05"
"skyrrhawk","4e+05"
"yosh","4e+05"
"Andy","4e+05"
"hockeymil","4e+05"
"Jorec","4e+05"
"Weaves","4e+05"
"Rengoku","4e+05"
"EmoLeBron","4e+05"
"Deng","4e+05"
"Security Shark","4e+05"
"damienj10","4e+05"
"wumaduce","4e+05"
"MattyJ","4e+05"
